query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,cv_dollar_tier,gsc_imps,gsc_position,gtrends_signal,serp_features,topical_relevance,voice_variant,speakable_eligible,aio_cited_domains,target_page_slug,priority,notes
french drain installation eugene or,GSC/autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,10,how much does french drain installation cost in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,Primary target keyword — H1 title meta
french drain installation eugene oregon,GSC/autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,,10,what is the cost of french drain installation in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,Alternate form of primary; use in first 100 words
drainage installation eugene oregon,GSC/autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,,10,,yes,,/drainage-installation-eugene-oregon,P1,Matches page title format
drainage contractor eugene or,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,9,who is the best drainage contractor in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,Provided in brief; high commercial value
drainage contractor eugene oregon,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,,9,,yes,,/drainage-installation-eugene-oregon,P1,
french drain eugene or,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,10,,yes,,/drainage-installation-eugene-oregon,P1,Shorter head variant
french drain eugene oregon,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,,10,,yes,,/drainage-installation-eugene-oregon,P1,
yard drainage eugene oregon,autocomplete,transactional,consideration,yes,scheduled,head,high,$$,0,,moderate,,9,how do i fix yard drainage in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,Provided in brief
yard drainage springfield oregon,autocomplete,transactional,consideration,yes,scheduled,head,high,$$,0,,moderate,,9,,yes,,/drainage-installation-eugene-oregon,P1,Provided in brief — Springfield modifier
french drain contractor eugene or,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,10,,yes,,/drainage-installation-eugene-oregon,P1,Decision-stage; long-tail variant
french drain contractor lane county oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,County-wide modifier
drainage installation lane county or,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,County-wide modifier
french drain installation cost eugene oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,moderate,featured snippet,10,how much does french drain installation cost in eugene,yes,,/drainage-installation-eugene-oregon,P1,Featured snippet target for cost query
french drain cost lane county or,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,
yard drainage cost eugene or,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,
swale construction lane county,autocomplete,transactional,decision,yes,scheduled,mid,medium,$,0,,low,,7,,no,,/drainage-installation-eugene-oregon,P2,Provided in brief; owned more by grading-leveling page but relevant boundary keyword
culvert installation oregon,autocomplete,transactional,decision,yes,scheduled,head,medium,$,0,,low,,6,,no,,/drainage-installation-eugene-oregon,P2,Provided in brief; relevant to rural Lane County drainage
catch basin drainage eugene,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Provided in brief; strong differentiator — zero competitor covers catch basins
stormwater drainage contractor oregon,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,Provided in brief; broader Oregon modifier
