query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
driveway grading Eugene OR,seed/search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Core target keyword — exact service + city
driveway grading Eugene Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Full state spelling variant
driveway excavation Eugene Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Strong local intent; competitor pages exist
driveway grading Oregon,search,commercial,consideration,yes,browse,head,high,/driveway-excavation-grading-oregon,P0,Statewide head term; broad but relevant
gravel driveway repair Eugene Oregon,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,Repair intent with location; high conversion signal
gravel driveway contractor Eugene Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Hire-ready intent
gravel driveway installation Eugene OR,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,New install intent — high commercial value
washed out driveway repair Oregon,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,Pain-point driven; urgency; real search term found
gravel driveway Eugene OR,search,commercial,consideration,yes,browse,head,high,/driveway-excavation-grading-oregon,P0,Short-tail local — high impressions
gravel driveway repair Oregon,search,transactional,decision,yes,urgency,head,high,/driveway-excavation-grading-oregon,P0,Statewide repair head term
driveway grading cost Oregon,search,commercial,consideration,yes,browse,mid,high,/driveway-excavation-grading-oregon,P0,Cost research pre-call query
driveway leveling Eugene Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Seed keyword; confirms user intent
gravel driveway repair Lane County Oregon,search,transactional,decision,yes,urgency,long,high,/driveway-excavation-grading-oregon,P0,Very specific local — low competition
gravel driveway grading repair Lane County,seed,transactional,decision,yes,urgency,long,high,/driveway-excavation-grading-oregon,P0,Seed keyword; long-tail gold
driveway excavation Oregon,seed,transactional,decision,yes,scheduled,head,high,/driveway-excavation-grading-oregon,P0,Seed keyword
driveway excavation contractor Eugene,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Multiple competitor pages found for this
driveway grading Springfield Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Adjacent city — Eugene metro area
gravel driveway repair Springfield OR,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,Seed keyword variant; cover Springfield
driveway grading Lane County Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,County-level modifier — strong local signal
gravel driveway contractor Lane County,search,transactional,decision,yes,scheduled,long,high,/driveway-excavation-grading-oregon,P0,Hire-ready with county modifier
driveway excavation cost Oregon,search,commercial,consideration,yes,browse,mid,high,/driveway-excavation-grading-oregon,P1,Cost research; drives call conversions
gravel driveway installation cost Oregon,search,commercial,consideration,yes,browse,mid,high,/driveway-excavation-grading-oregon,P1,Pricing research before hire
driveway regrading Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P0,Direct service term
driveway regrading cost Oregon,search,commercial,consideration,yes,browse,mid,high,/driveway-excavation-grading-oregon,P1,Cost intent; mid-funnel
driveway regrading Eugene Oregon,search,transactional,decision,yes,scheduled,long,high,/driveway-excavation-grading-oregon,P0,Long-tail local; strong
gravel driveway repair near me Eugene,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,"Near me" intent — mobile search
driveway excavation near me Eugene,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,"Near me" variant — mobile
gravel driveway contractor near me Eugene,search,transactional,decision,yes,urgency,mid,high,/driveway-excavation-grading-oregon,P0,"Near me" hire intent
excavation contractor Eugene OR,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P1,Broad excavation term — also serves other pages
grading contractor Eugene Oregon,search,transactional,decision,yes,scheduled,mid,high,/driveway-excavation-grading-oregon,P1,Service category term
excavation contractor Lane County Oregon,search,transactional,decision,yes,scheduled,long,high,/driveway-excavation-grading-oregon,P1,County-level
