query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
utility excavation eugene or,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P0,Primary page target keyword
utility excavation eugene oregon,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P0,Full state-name variant
utility excavation lane county or,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P0,County-wide variant
utility excavation springfield oregon,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P1,Tier 1 city variant
utility excavation contractor eugene or,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P1,Contractor-suffix variant
utility trenching eugene oregon,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P0,Core synonym head term
utility trenching contractor lane county,serp,commercial,decision,y,scheduled,head,high,/utility-excavation/,P1,Contractor-suffix county variant
underground utility installation eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-excavation/,P1,Installation-phrasing variant (framed as excavation FOR, not installation of)
underground utility trenching near me,serp,commercial,decision,n,scheduled,head,high,/utility-excavation/,P1,Near-me device-located generic query
utility trench digging eugene oregon,serp,commercial,decision,y,scheduled,mid,medium,/utility-excavation/,P2,Digging-phrasing variant
water line trenching cost oregon,serp,commercial,consideration,y,browse,mid,high,/utility-excavation/,P0,Cost-intent seed term named in task
water service line trenching eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-excavation/,P1,Named utility type variant
new water line installation cost eugene oregon,serp,commercial,consideration,y,browse,long,high,/utility-excavation/,P1,Cost + install combined query
how deep does a water line need to be buried oregon,paa,informational,awareness,y,browse,long,medium,/utility-excavation/,P0,Depth-question seed term named in task
water line burial depth requirements,serp,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,National depth-question phrasing
water pipe frost depth oregon,serp,informational,awareness,y,browse,long,medium,/utility-excavation/,P1,Frost-depth-specific phrasing
water service line depth lane county,serp,informational,consideration,y,browse,long,medium,/utility-excavation/,P0,Local depth-question phrasing
sewer lateral installation cost,serp,commercial,consideration,n,browse,mid,high,/utility-excavation/,P0,Cost-intent seed term named in task
sewer lateral installation cost oregon,serp,commercial,consideration,y,browse,long,high,/utility-excavation/,P1,Oregon-modified cost variant
sewer lateral trenching eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-excavation/,P1,Named utility type variant
how deep does a sewer line need to be buried,paa,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,Depth-question phrasing
sewer line burial depth oregon,serp,informational,awareness,y,browse,long,medium,/utility-excavation/,P0,Oregon-modified depth question
sewer lateral depth requirements code,serp,informational,consideration,n,browse,long,medium,/utility-excavation/,P1,Code-specific phrasing
new sewer connection cost eugene oregon,serp,commercial,consideration,y,browse,long,high,/utility-excavation/,P1,Connection-phrasing cost variant
electrical conduit trenching,serp,commercial,consideration,n,browse,mid,high,/utility-excavation/,P0,Named utility type seed term named in task
electrical conduit trenching eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-excavation/,P1,Local variant
underground electrical conduit depth requirements,serp,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,Depth-question phrasing
how deep to bury electrical conduit,paa,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,PAA-style phrasing
electrical conduit burial depth code oregon,serp,informational,consideration,y,browse,long,medium,/utility-excavation/,P0,Oregon code-specific phrasing
nec table 300.5 residential burial depth,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,Technical/code-lookup phrasing
trenching for new electrical service eugene oregon,serp,commercial,decision,y,scheduled,long,high,/utility-excavation/,P1,New-service-specific phrasing
sub panel trenching cost shop,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P2,Outbuilding-power buyer moment
gas line trenching,serp,commercial,consideration,n,browse,mid,high,/utility-excavation/,P0,Named utility type seed term named in task
gas line trenching eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-excavation/,P1,Local variant
gas line trench depth requirements oregon,serp,informational,consideration,y,browse,long,medium,/utility-excavation/,P0,Depth-question seed term named in task
how deep does a gas line need to be buried,paa,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,PAA-style phrasing
underground gas piping minimum cover,serp,informational,awareness,n,browse,long,medium,/utility-excavation/,P1,Code-phrasing variant
new gas line installation cost eugene oregon,serp,commercial,consideration,y,browse,long,high,/utility-excavation/,P1,Install-cost combined query
running gas line to house that never had one,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P2,Utility-expansion buyer-moment phrasing
communications line burial depth,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,Fiber/comms depth seed term named in task
fiber line trenching depth requirements,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,Fiber-specific depth phrasing
underground fiber conduit installation cost,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P2,Fiber install-cost phrasing
irrigation line trenching eugene oregon,serp,commercial,consideration,y,browse,long,medium,/utility-excavation/,P2,Adjacent utility type mentioned on current live page
outdoor lighting circuit trenching,serp,commercial,consideration,n,browse,long,low,/utility-excavation/,P2,Adjacent utility type mentioned on current live page
utility locate before digging,serp,informational,awareness,n,browse,mid,medium,/utility-excavation/,P0,Seed term named in task
call before you dig utility line oregon,serp,informational,awareness,y,browse,long,medium,/utility-excavation/,P1,Oregon811-adjacent phrasing
oregon811 utility trenching,serp,informational,awareness,y,browse,long,medium,/utility-excavation/,P1,Direct brand+topic combination
who calls 811 utility company or contractor,paa,informational,consideration,n,browse,long,medium,/utility-excavation/,P0,Coordination-role seed term named in task
does the utility company or contractor dig the trench,paa,informational,consideration,n,browse,long,medium,/utility-excavation/,P0,Coordination-role phrasing
who pulls the permit for a new utility line,serp,informational,consideration,y,browse,long,medium,/utility-excavation/,P1,Permit-responsibility phrasing
what happens if you hit an existing line,paa,informational,awareness,n,browse,long,medium,/utility-excavation/,P0,Seed term named in task
hit unmarked utility line while digging,serp,informational,awareness,n,browse,long,medium,/utility-excavation/,P1,Failure-mode phrasing
joint trench multiple utilities,serp,informational,consideration,n,browse,long,medium,/utility-excavation/,P0,Joint-trenching core concept term
can water sewer electrical gas go in same trench,paa,informational,consideration,n,browse,long,medium,/utility-excavation/,P0,PAA-style joint-trenching phrasing
running multiple utilities in one trench to save money,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P1,Cost-saving-angle phrasing
utility trench separation requirements,serp,informational,consideration,n,browse,long,low,/utility-excavation/,P2,Code-adjacent phrasing
water and sewer line separation code,serp,informational,consideration,n,browse,long,low,/utility-excavation/,P1,Separation-specific code phrasing
tracer wire requirements utility trench,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,Small-detail differentiator term
bedding sand for pipe trench,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,Material-specific term
utility trenching cost per foot,serp,commercial,consideration,n,browse,mid,high,/utility-excavation/,P0,Core cost-intent term
utility trench cost driveway vs dirt,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P1,Hardscape-differential cost phrasing
trenching under concrete driveway cost,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P1,Hardscape-specific phrasing
trenching under asphalt cost,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P2,Hardscape-specific phrasing
new utility line to structure cost,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P1,New-structure buyer-moment phrasing
utility hookup cost new construction,serp,commercial,consideration,n,browse,long,medium,/utility-excavation/,P2,New-construction buyer-moment phrasing
trench and bury water line myself,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,DIY-adjacent phrasing (objection-handling opportunity)
diy utility trenching legal requirements,serp,informational,awareness,n,browse,long,low,/utility-excavation/,P2,DIY-legality phrasing
permit for new water service line lane county,serp,informational,consideration,y,browse,long,medium,/utility-excavation/,P1,Permit-specific local phrasing
do i need a permit to run a new utility line,paa,informational,consideration,n,browse,long,medium,/utility-excavation/,P0,PAA-style permit phrasing named in task
ewb new water tap application,serp,navigational,consideration,y,browse,long,low,/utility-excavation/,P2,Utility-specific navigational query (EWEB)
springfield utility board new service,serp,navigational,consideration,y,browse,long,low,/utility-excavation/,P2,Utility-specific navigational query (SUB)
nw natural new gas service oregon,serp,navigational,consideration,y,browse,long,low,/utility-excavation/,P2,Utility-specific navigational query (NW Natural)
adu utility hookup trenching eugene,serp,commercial,decision,y,scheduled,long,high,/utility-excavation/,P1,ADU-specific project-type phrasing
new construction utility trenching eugene or,serp,commercial,decision,y,scheduled,long,high,/utility-excavation/,P1,New-construction buyer-moment phrasing
utility trenching for shop or barn,serp,commercial,decision,y,scheduled,long,medium,/utility-excavation/,P2,Outbuilding buyer-moment phrasing
utility trenching for detached garage,serp,commercial,decision,n,scheduled,long,medium,/utility-excavation/,P2,Outbuilding buyer-moment phrasing
residential vs commercial utility trenching,serp,informational,consideration,n,browse,long,low,/utility-excavation/,P2,Reused framing pattern from excavation page
