query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
utility trenching eugene or,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P0,Primary page target keyword
utility trenching eugene oregon,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P0,Full state-name variant
utility trenching lane county oregon,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P0,County-level variant
water line trenching eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P0,High-volume sub-service variant — plumbing SERPs dominated; excavator gap
sewer line trenching eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P0,High-volume sub-service variant — plumbing SERPs dominated; excavator gap
electric conduit trenching eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P0,Sub-service variant; Portland contractors rank; no Eugene excavator
utility trenching contractor eugene or,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P1,Contractor-suffix variant
underground utility contractor eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Directory-dominated SERP; service page can rank with schema
underground utility trenching eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Underground modifier variant
gas line trenching eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Sub-service variant; NW Natural context relevant
joint trenching eugene oregon,serp,commercial,consideration,y,scheduled,long,high,/utility-trenching-eugene-oregon,P1,Zero competitors rank for this; first-mover
utility trench digging eugene or,serp,commercial,decision,y,scheduled,mid,medium,/utility-trenching-eugene-oregon,P1,Digging-phrasing variant
trenching contractor eugene oregon,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P1,Generic trenching contractor — broad local head term
utility trenching springfield oregon,serp,commercial,decision,y,scheduled,head,high,/utility-trenching-eugene-oregon,P1,Springfield city variant — Tier 1 city per business-info.md
underground utility installation eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Installation-phrasing variant
utility trenching near me,serp,commercial,decision,n,scheduled,head,high,/utility-trenching-eugene-oregon,P1,Near-me device-located generic
how deep does a water line need to be buried oregon,paa,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Depth-question; PAA-sourced; cojoasphalt.com ranks for this
how deep does a sewer line need to be buried in oregon,paa,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Depth-question PAA variant
how deep does electrical conduit need to be buried oregon,paa,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Depth-question; NEC 300.5 context
how deep does a gas line need to be buried in oregon,paa,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Depth-question; ORSC G2415.12 context
water line burial depth lane county,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Lane County-specific depth lookup
frost depth lane county oregon,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P1,Frost depth = 12 in.; driving water line depth
can water and sewer go in same trench oregon,paa,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P0,Joint trenching PAA; zero-competitor coverage
can water sewer electrical gas go in same trench,paa,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P0,Joint trenching multi-utility PAA
joint trenching multiple utilities oregon,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Joint trenching informational
utility trench separation requirements oregon,serp,informational,consideration,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Code-adjacent separation rules
who calls 811 utility company or contractor,paa,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P0,Coordination-role PAA
