entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,"Canonical form reused from home pack; do not fabricate septic-specific years-of-experience or systems-installed count"
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,"Canonical form reused from home pack — covers general contracting authority; does NOT by itself authorize septic work, see DEQ credential entities below"
Oregon Department of Environmental Quality,GovernmentOrganization,Oregon Department of Environmental Quality,,,GovernmentOrganization,10,authority,VALIDATED,https://www.oregon.gov/deq/,n/a,"Canonical form reused from home pack row 6 — primary regulator for this page's core service"
DEQ Onsite Wastewater Management Program,GovernmentService,DEQ Onsite Wastewater Management Program,,,GovernmentService,9,authority,VALIDATED,https://www.oregon.gov/deq/residential/pages/onsite.aspx,n/a,Canonical form reused from home pack row 7
Oregon Administrative Rules 340-071,Legislation,OAR Chapter 340 Division 71 — Onsite Wastewater Treatment Systems,,,Legislation,9,authority,VALIDATED,https://oregon.public.law/rules/oar_chapter_340_division_71,n/a,"CONFIRMED CORRECT CITATION this session — governs permitting/design/installation/operation/licensing statewide; this page's most load-bearing regulatory citation"
DEQ Contract County Structure (OAR 340-071-0120),Legislation,OAR 340-071-0120 — Jurisdiction and Policy,,,Legislation,9,authority,VALIDATED,https://regulations.justia.com/states/oregon/chapter-340/division-71/section-340-071-0120/,n/a,"NEW — VERIFIED this session: DEQ directly manages only Curry, Jackson, and Josephine counties; the other 33 counties including Lane County are DEQ contract/agent counties administering permitting locally. Directly answers the task's core regulatory question."
Lane County Land Management Division - Subsurface Sanitation Program,GovernmentOrganization,Lane County Subsurface Sanitation Program,,,GovernmentOrganization,9,authority,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division/on-_site_wastewater/subsurface_sanitation_permits_general_information,n/a,"NEW — the specific Lane County program administering septic permits locally as DEQ's agent; sits alongside the Building Program and Land Use Planning within the same Land Management Division"
Sewage Disposal Service (SDS) License,Certification,Oregon Sewage Disposal Service Business License,,,EducationalOccupationalCredential,9,trust_signal,VALIDATED,https://www.oregon.gov/deq/residential/pages/onsite-licensing.aspx,n/a,"NEW — VERIFIED this session: three real license types exist — Installer only, Pumper only, Combined Pumper/Installer. Bond: $15,000 Installer/Combined, $5,000 Pumper-only. Do not assert which type D&D holds beyond general 'DEQ Certified.'"
Installer Certification,Certification,DEQ Installer Certification,,,EducationalOccupationalCredential,9,trust_signal,VALIDATED,https://www.oregon.gov/deq/Residential/Pages/Onsite-Certification.aspx,n/a,"NEW — VERIFIED this session: individual credential required before a business can hold an Installer/Combined SDS license; 2-day course via Chemeketa CC, 70% exam pass, recert every 3 yrs / 18 CE hours. Likely credential D&D holds; do not state a specific number."
Maintenance Provider Certification,Certification,DEQ Maintenance Provider Certification,,,EducationalOccupationalCredential,7,trust_signal,VALIDATED,https://www.oregon.gov/deq/Residential/Pages/Onsite-Certification.aspx,n/a,"NEW — VERIFIED this session: SEPARATE credential from Installer Certification, required for inspecting/maintaining ATT/sand-filter/recirculating-gravel-filter systems, plus manufacturer certification. Not confirmed whether D&D holds this — do not assume."
DEQ Onsite Septic Business License Search,GovernmentService,Oregon DEQ Sewage Disposal Service Business License Search,,,GovernmentService,6,authority,VALIDATED,https://www.oregon.gov/deq/residential/pages/onsite-search.aspx,n/a,"NEW — DEQ's own public tool for verifying an active Installer/Pumper/Combined license, direct parallel to the CCB lookup already used on the homepage"
ePASS (Lane County permitting portal),GovernmentService,Lane County ePASS Online Permitting,,,GovernmentService,4,process_entity,VALIDATED_LOCAL,,n/a,"NEW — Lane County's own recommended online application channel for septic/building permits"
Septic Tank,Component,Septic Tank,Q1361509,,Thing,8,core_entity,VALIDATED,https://en.wikipedia.org/wiki/Septic_tank,n/a,Primary system component
Drainfield / Leach Field,Component,Drainfield (Leach Field),,,Thing,8,core_entity,VALIDATED_LOCAL,,n/a,Primary system component; subject to the sequencing/protection rule below
Distribution Box (D-box),Component,Distribution Box,,,Thing,5,core_entity,VALIDATED_LOCAL,,n/a,Splits effluent flow across drainfield lines
Conventional Septic System,SystemType,Conventional (Standard) Septic System,,,Thing,9,core_entity,VALIDATED,https://www.oregon.gov/deq/Residential/Pages/Onsite-ATT.aspx,n/a,"Oregon's baseline system type; typical cost $3,000-$10,000 installed"
Alternative Treatment Technology (ATT),SystemType,Alternative Treatment Technology,,,Thing,9,core_entity,VALIDATED,https://www.oregon.gov/deq/Residential/Pages/Onsite-ATT.aspx,n/a,"DEQ's own umbrella term for any non-conventional system; DEQ maintains an Approved ATT Products list. Typical cost $12,000-$30,000+"
Aerobic Treatment Unit (ATU),SystemType,Aerobic Treatment Unit,,,Thing,7,sub_entity,VALIDATED,,n/a,"ATT subtype; $10,000-$20,000 installed, 2-3x conventional, requires ongoing Maintenance Provider service contract"
Sand Filter System,SystemType,Sand Filter Septic System (Intermittent / Recirculating),,,Thing,7,sub_entity,VALIDATED,,n/a,"ATT subtype named directly in Oregon's residential system-type list; intermittent $7,000-$18,000, recirculating $10,000-$25,000+"
Recirculating Gravel Filter,SystemType,Recirculating Gravel Filter,,,Thing,4,sub_entity,VALIDATED_LOCAL,,n/a,Named directly in DEQ's Maintenance Provider certification scope language
Capping Fill System,SystemType,Capping Fill System,,,Thing,5,sub_entity,VALIDATED_LOCAL,,n/a,"Oregon-specific system type in DEQ's own residential system list; used where soil depth to a limiting layer is too shallow for conventional"
Pressure Distribution,ProcessEntity,Pressure Distribution,,,Thing,4,sub_entity,VALIDATED_LOCAL,,n/a,Distribution method named in DEQ's own residential system-type list
AdvanTex (Orenco),Brand,AdvanTex Treatment System,,,Product,3,unconfirmed_equipment,NOT_FOUND_FOR_DD,,n/a,"Named by competitor Braun Excavating specifically; real commercial ATT product; NOT confirmed as a brand D&D installs — do not name without confirmation"
Mound System,SystemType,Mound Septic System,,,Thing,4,sub_entity,VALIDATED_LOCAL,,n/a,Common alternative-system type for high water table/shallow soil; general industry term
Site Evaluation (Septic),ProcessEntity,Septic Site Evaluation,,,Thing,8,process_entity,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division/on-_site_wastewater/test_pit_information,n/a,"Reused verbatim from site-preparation/07-oregon-authority.md §5 — min 2 test pits (3 preferred), 50-100ft apart, 2ft x 4ft x 5ft each"
Drainfield Protection / Sequencing Rule,ProcessEntity,Drainfield Area Disturbance Restriction,,,Thing,8,process_entity,VALIDATED_LOCAL,,n/a,"Reused verbatim from site-preparation pack — once a drainfield location is proposed/approved it cannot be cut/filled/paved without voiding septic approval; THIS page goes deeper into the consequences (re-evaluation cost/delay)"
Repair-vs-Replace Threshold,Concept,Septic Repair-vs-Replace 50% Rule,,,Thing,6,process_entity,VALIDATED_LOCAL,,n/a,Reused from home pack — industry rule of thumb comparing repair cost to ~50% of replacement cost
