entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Utility Excavation,Service,Utility Excavation and Trenching,,,Service,10,primary_service,VALIDATED_LOCAL,,6/10 excavation competitors reference generically; 0/10 give per-utility depth,"Primary entity for THIS page per business-info.md's own separate line item and the topical map. Scope per the Scope Boundary: trenching for a NEW utility connection to a structure — water service, sewer lateral, electrical conduit, gas line, communications/fiber — organized by WHICH utility and WHY. Excavation FOR utility installation, not utility installation itself (no tap, connection, or hookup claims)."
Trenching & Backfill,Service,Trenching and Backfill,,,Service,6,sibling_scope_boundary_flagged,VALIDATED_LOCAL,,n/a,"SIBLING page, already shipped separately (site/src/pages/services/trenching-backfill.astro) — NOT this page's territory for the general mechanics. Per this pack's Scope Boundary finding: real, distinct search behavior exists for 'utility trenching cost' (organized by utility type) vs. 'trenching and backfill cost' (organized by technique/mechanics — backfill lifts, compaction, bedding, applicable across utility, drainage, and footing trenches). Recommend keeping both pages, redrawing scope so trenching-backfill owns the general HOW (compaction in lifts, bedding materials, restoration) and this page owns the utility-specific WHY (per-utility depth, joint trenching, utility-company coordination) — cross-link both directions rather than duplicating. Flagged for a future brief/content decision, not resolved as content in this task."
Water Service Line,Concept,Water Service Line,,,Thing,9,core_concept_primary,VALIDATED,https://en.wikipedia.org/wiki/Water_supply_network,0/10 competitors state a depth figure,"A NEW water line run from the utility main or meter to a structure — this page's territory. Minimum depth: 12 in. below frost depth (OPSC 609.1); Lane County frost depth is 12 in., so total minimum trench depth is 24 in. below grade. VERIFIED via Lane County's own Trenching for Utilities page — see 07-oregon-authority.md §1."
Sewer Lateral,Concept,Sewer Lateral (service line),,,Thing,9,core_concept_primary,VALIDATED,https://en.wikipedia.org/wiki/Sanitary_sewer,0/10 competitors state a depth figure,"The pipe connecting a structure to a public sewer main or an on-site septic system. Minimum 12 in. ground cover (OPSC 718.1), 1/4 in.-per-foot minimum slope toward the discharge point. A sewer lateral connecting to a SEPTIC system overlaps with the septic page's territory — see Septic Install & Repair row below for the boundary."
Electrical Conduit (underground),Concept,Underground Electrical Conduit/Cable,,,Thing,8,core_concept_primary,VALIDATED,https://en.wikipedia.org/wiki/Electrical_conduit,0/10 competitors state a depth figure,"Trenching for a new electrical service, sub-panel run, or outbuilding power line. Depth varies by method per NEC Table 300.5 (adopted/amended by the Oregon Electrical Specialty Code): 24 in. direct-buried cable, 18 in. PVC/nonmetallic conduit, 6 in. rigid/intermediate metal conduit, as shallow as 12 in. for a GFCI-protected 120V branch circuit. Oregon-specific OESC amendment table not directly confirmed in this pass — flagged in 07-oregon-authority.md §1."
Gas Line (underground),Concept,Underground Fuel Gas Piping,,,Thing,8,core_concept_primary,VALIDATED,https://en.wikipedia.org/wiki/Gas_line,0/10 competitors state a depth figure,"18 in. minimum cover standard (ORSC G2415.12); individual outdoor-appliance lines (grill, light) may be as shallow as 8 in. if approved by the AHJ (G2415.12.1). Requires a yellow tracer wire alongside non-metallic pipe. VERIFIED via Lane County's own Trenching for Utilities page."
Communications/Fiber Conduit,Concept,Communications and Fiber-Optic Conduit,,,Thing,5,core_concept_unconfirmed_depth,NOT_FOUND,,0/10 competitors mention,"NEW — no Oregon-specific state code citation for minimum burial depth was found in this pass; communications/fiber conduit depth is typically governed by the individual ISP/utility's own construction standards rather than the state building code the way water/sewer/gas/electrical are. Genuine, honestly-disclosed content gap — see 08-gap-analysis.md. Do not invent a depth figure."
Joint Trench (multiple utilities, shared),Concept,Joint Trench,,,Thing,8,core_concept_differentiator,VALIDATED,,0/10 competitors name this practice,"VERIFIED as a real, named, code-permitted practice — Lane County's own page states electrical and gas can be installed alongside water and sewer in one trench 'without prohibition.' The one code-stated separation rule: water pipe bottom must sit at least 12 in. above sewer pipe top where they cross (OPSC 720.1). Individual utility companies (EWEB, Springfield Utility Board, NW Natural) may impose their own additional separation specs — not Lane-County-code-mandated, but a real practical caveat. Single biggest unclaimed content opportunity for this page alongside the depth table."
Tracer Wire,Concept,Utility Locate Tracer Wire,,,Thing,4,supporting_detail,VALIDATED_LOCAL,,0/10 competitors mention,"Required alongside buried non-metallic utility lines so they can be located later without excavation. Color/gauge standard per Lane County's page: blue 14 AWG (water), green 14 AWG (sanitary sewer), yellow 18 AWG (gas). A small, concrete, checkable detail zero competitors state."
Utility Locate / Oregon811 (before trenching),GovernmentOrganization,Oregon Utility Notification Center (Oregon 811),,,GovernmentOrganization,7,reused,VALIDATED,https://digsafelyoregon.com/,0/10 competitors mention,"Reused verbatim from excavation/07-oregon-authority.md §1 — applies to every utility trench on this page; do not re-verify, cross-link instead."
OSHA 1926 Subpart P (Trench Safety),Legislation,29 CFR 1926 Subpart P — Excavations,,,Legislation,6,reused,VALIDATED,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartP,0/10 competitors mention,"Reused verbatim from excavation/home packs — most utility-service trenches (18-24 in.) stay under the 4-5 ft OSHA thresholds, but a deep sewer lateral or footing-level tie-in can approach them; note this distinction rather than re-deriving the standard."
Bedding Sand / Pea Gravel,Concept,Pipe Bedding Material,,,Thing,5,supporting_detail,VALIDATED_LOCAL,,current live D&D page names this,"Sand or pea gravel placed beneath and around pipe/conduit before backfill, per the applicable utility's spec — reused/extended from the current live utility-excavation.astro page's own equipment section. General mechanics of backfill/compaction in lifts are Trenching & Backfill's territory per the Scope Boundary — this page names the material as part of what goes IN the trench for a specific utility, not the compaction technique itself."
Water-to-Sewer Separation (OPSC 720.1),Legislation,OPSC Section 720.1,,,Legislation,5,authority_new,VALIDATED_LOCAL,,0/10 competitors mention,"VERIFIED via Lane County's own page: water pipe bottom must be at least 12 in. above sewer pipe top where the two cross. The one specific code-stated utility-separation rule for this page."
EWEB (Eugene Water & Electric Board),Organization,Eugene Water & Electric Board (EWEB),,,GovernmentOrganization,4,utility_coordination_context,VALIDATED,https://www.eweb.org/,n/a,"NEW — Eugene's municipal water and electric utility; the party a new Eugene water/power tap application goes through. Whether D&D coordinates this call directly or leaves it to the owner/plumber is UNCONFIRMED — do not state as settled practice."
Springfield Utility Board (SUB),Organization,Springfield Utility Board (SUB),,,GovernmentOrganization,4,utility_coordination_context,VALIDATED,https://www.subutility.com/,n/a,"NEW — Springfield's municipal water/electric utility, the Springfield analog to EWEB. Same coordination-role caveat applies."
NW Natural,Organization,NW Natural,,,GovernmentOrganization,3,utility_coordination_context,VALIDATED,https://www.nwnatural.com/,n/a,"NEW — the natural gas utility serving much of the Eugene/Springfield area; relevant to gas-line trenching coordination and joint-trench separation specs. Not confirmed whether D&D has a direct working relationship — mention generically, not as a named partnership."
Excavation & Grading,Service,Excavation and Grading,,,Service,7,parent_not_this_page,VALIDATED_LOCAL,,n/a,"Canonical form reused from excavation pack — PARENT page. Excavation-content.md already promises 'utility run' trenching-specific depth lives on THIS page — this page must deliver on that promise, not repeat excavation's own general cut/fill/OSHA/Oregon811 content."
Drainage Excavation,Service,Drainage Excavation (buried/dug systems),,,Service,6,sibling_not_this_page,VALIDATED_LOCAL,,n/a,"Canonical form reused from drainage-excavation pack — SIBLING, not this page. Owns buried drainage trenching (French drains, curtain drains) for WATER MANAGEMENT purposes. This page owns trenching for utility SERVICE lines (water supply, sewer, power, gas, communications) to a structure. Both are 'trenching for a purpose'; they differ by purpose (drainage/water-management vs. utility-service-delivery), not by trench mechanics — do not re-explain general trench-safety or Oregon811 mechanics already covered on excavation-content.md and drainage-excavation-content.md."
Septic Install & Repair,Service,Septic Installation and Repair,,,Service,4,sibling_not_this_page,VALIDATED_LOCAL,,n/a,"Canonical form reused from septic pack — a sewer lateral running TO a septic tank overlaps this page's sewer-lateral content; the septic TANK, drainfield, and DEQ-regulated wastewater-dispersal system itself is the septic page's territory. One-line disambiguation only on this page."
Foundation Excavation,Service,Foundation Excavation,,,Service,3,sibling_not_this_page,VALIDATED_LOCAL,,n/a,"Canonical form reused from foundation-excavation pack — a utility stub-in during a foundation dig is a real overlap point; cross-link rather than duplicate the foundation-drain (ORSC R405) content already owned there."
Willamette Valley,Place,Willamette Valley,,,Place,4,geo_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,Canonical form reused from home pack; clay-soil context for trench stability and backfill compaction difficulty
