entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,/g/11x_dd_land_works,GeneralContractor,1.0,primary_business,VALIDATED_LOCAL,https://ddlandworks.com,mandatory,Reused from home/entity-inventory.csv
David Deggelman,Person,David Deggelman,,,Person,0.8,business_owner,VALIDATED_LOCAL,,mandatory,Named owner — trust signal; reused from home pack
Oregon CCB #261742,Credential,Oregon CCB License #261742,,,EducationalOccupationalCredential,0.9,license,VALIDATED_LOCAL,https://www.oregon.gov/ccb/Pages/index.aspx,mandatory,Active license — verify at orccb.org
DEQ Certified,Credential,DEQ Certified,,,EducationalOccupationalCredential,0.7,certification,VALIDATED_LOCAL,,recommended,Septic certification; relevant context for drainage sections
Eugene,City,Eugene Oregon,Q34017,,City,1.0,service_area_primary,VALIDATED,https://www.wikidata.org/wiki/Q34017,mandatory,Primary city target — H1 meta areaServed
Springfield Oregon,City,Springfield Oregon,Q50740,,City,0.8,service_area_primary,VALIDATED,https://www.wikidata.org/wiki/Q50740,mandatory,Second-largest city in service area — include in H1 or intro
Lane County Oregon,County,Lane County Oregon,Q108068,,County,0.9,service_area,VALIDATED,https://www.wikidata.org/wiki/Q108068,mandatory,County-level framing for schema areaServed
Willamette Valley,Region,Willamette Valley,Q188059,,Place,0.7,geographic_context,VALIDATED,https://www.wikidata.org/wiki/Q188059,mandatory,Soil and seasonal framing entity
Foundation Excavation,Service,Foundation Excavation,,,Service,1.0,primary_service,VALIDATED_NO_KG,,mandatory,Primary service entity for this page
Basement Excavation,Service,Basement Excavation,,,Service,0.8,service_subtype,VALIDATED_NO_KG,,recommended,Foundation type sub-service
Crawl Space Excavation,Service,Crawl Space Excavation,,,Service,0.8,service_subtype,VALIDATED_NO_KG,,recommended,Most common foundation type in Eugene
Footings Excavation,Service,Footings Excavation,,,Service,0.7,service_subtype,VALIDATED_NO_KG,,recommended,Keyword-bearing sub-service
ADU Foundation Excavation,Service,ADU Foundation Excavation,,,Service,0.7,service_subtype,VALIDATED_NO_KG,,recommended,High-growth segment — Oregon HB 2001 era
Slab Foundation Excavation,Service,Slab Foundation Excavation,,,Service,0.6,service_subtype,VALIDATED_NO_KG,,recommended,Comparison table row
Oregon Residential Specialty Code,Regulatory,Oregon Residential Specialty Code,,,GovernmentService,0.8,regulatory_authority,VALIDATED_LOCAL,https://up.codes/viewer/oregon/irc-2021,mandatory,Code that governs footing depth in Oregon
