entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Oregon Department of Environmental Quality,GovernmentOrganization,Oregon Department of Environmental Quality,,,GovernmentOrganization,6,authority,VALIDATED,https://www.oregon.gov/deq/,n/a,Canonical form reused from home pack; relevant here for 1200-C stormwater + septic site-eval sequencing
Lane County Land Management Division,GovernmentOrganization,Lane County Land Management Division,,,GovernmentOrganization,10,authority,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division,n/a,Primary permitting authority entity for THIS page — grading/fill permit + erosion prevention permit + driveway/access permit all issued here
Lane County Grading and Fill Permit,GovernmentPermit,Lane County Grading and Fill Permit,,,GovernmentPermit,9,process_entity,VALIDATED_LOCAL,https://willamettecraftworks.com/permitting/lane-county-or/,n/a,"Triggered by moving >50 cubic yards of earth OR creating a cut/fill slope steeper than 2:1, per third-party permitting guide summarizing Lane County code — VERIFY exact cubic-yard/slope thresholds against Lane Code Ch.16/LMD directly before publishing as an exact figure"
Lane County Erosion Prevention Permit (Type I / Type II),GovernmentPermit,Lane County Erosion Prevention Permit,,,GovernmentPermit,8,process_entity,VALIDATED_LOCAL,https://willamettecraftworks.com/permitting/lane-county-or/,n/a,"Type I = single-family homes/minor grading under 1 acre; Type II = larger developments, slopes >15%, or highly erodible soils; applies within the County MS4 area (Eugene/Springfield urban fringe) — same sourcing caveat as above"
Lane County Driveway/Access (Facility) Permit,GovernmentPermit,Lane County Driveway Access Permit,,,GovernmentPermit,7,process_entity,VALIDATED_LOCAL,https://willamettecraftworks.com/permitting/lane-county-or/,n/a,Required for new driveway/modified county-road connection; sight-distance + culvert-sizing review; feeds /driveway-repair/ and this page's "before you build" FAQ
DEQ 1200-C Construction Stormwater Permit,GovernmentPermit,NPDES 1200-C Construction Stormwater General Permit,,,GovernmentPermit,10,process_entity,VALIDATED,https://www.oregon.gov/deq/housing/Pages/housing-1200c.aspx,n/a,"CONFIRMED directly on oregon.gov: required for sites disturbing 1+ acre OR part of a larger common plan of development totaling 1+ acre; 30-day advance application; ~$1,515 application fee + $1,558 first-year annual fee + 4% technology fee; no homeowner/single-lot exemption found; permit term Dec 15 2025 - Dec 14 2030"
Lane County On-Site Wastewater Program (septic/perc test),GovernmentService,Lane County On-Site Wastewater Program,,,GovernmentService,8,process_entity,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division/on-_site_wastewater,n/a,"Test-pit/perc-test evaluation must precede grading in the proposed drainfield area; cutting, filling, paving, or otherwise developing an approved drainfield location before/without evaluation can void approval — critical site-prep sequencing fact"
Test Pit (septic site evaluation),ProcessEntity,Septic Test Pit,,,Thing,6,process_entity,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division/on-_site_wastewater/test_pit_information,n/a,"Min. 2 pits (3 preferred), 50-100 ft apart, 2ft x 4ft x 5ft deep, stepped/ramped for access"
Land Clearing,Service,Land Clearing,,,Service,8,related_subservice,VALIDATED_LOCAL,,8/8 competitors offer some form,"Canonical service name reused from home pack; down-link target from this page per topical map §6.1"
Rough Grading,ProcessEntity,Rough Grading,,,Thing,7,process_entity,VALIDATED_LOCAL,,confirmed distinct from finish grading industry-wide,Down-link target: /grading-leveling/
Compaction / Subgrade Compaction,ProcessEntity,Soil Compaction,,,Thing,7,process_entity,VALIDATED_LOCAL,,"5/8 (All Dirt: ""soil compaction and stabilization"")",Core site-prep process step; ties to foundation-readiness messaging
Topsoil Stripping/Stockpiling,ProcessEntity,Topsoil Stripping,,,Thing,5,process_entity,VALIDATED_LOCAL,,industry-standard step; not named by any of the 8/9 competitors examined,Genuine specificity opportunity — no competitor names this step explicitly
Cut and Fill,ProcessEntity,Cut and Fill Grading,,,Thing,6,process_entity,VALIDATED_LOCAL,,industry-standard term,Ties directly to the Lane County 50-cubic-yard/2:1-slope grading-permit trigger
Access Road / Driveway Cut,ProcessEntity,Access Road Cut,,,Thing,5,process_entity,VALIDATED_LOCAL,,"3/9 competitors mention road/driveway prep (Heavy D 'Road Clearing', All Dirt driveway/access grading",Relevant to rural acreage/subdivision project types
Erosion Control / Silt Fencing,ProcessEntity,Erosion and Sediment Control,,,Thing,7,process_entity,VALIDATED_LOCAL,,1/9 (All Dirt lists 'erosion control measures'),Ties directly to DEQ 1200-C compliance — genuine differentiator to explain in plain language
Foundation Excavation,Service,Foundation Excavation,,,Service,7,related_subservice,VALIDATED_LOCAL,,4/8 competitors offer,Canonical name reused from home pack; down-link target per topical map §6.1
Drainage Excavation,Service,Drainage Excavation,,,Service,6,related_subservice,VALIDATED_LOCAL,,5/8 competitors offer,Canonical name reused from home pack; down-link target
Grading & Leveling,Service,Grading and Leveling,,,Service,7,related_subservice,VALIDATED_LOCAL,,6/8 competitors offer,Canonical name reused from home pack; down-link target
New Home Build (project type),ProjectType,New Home Construction Site Prep,,,Thing,8,project_type,VALIDATED_LOCAL,,universal project type across all competitors,Primary project-type entity for this page per topical map §6.1
ADU (Accessory Dwelling Unit),ProjectType,Accessory Dwelling Unit,Q1339291,,Thing,7,project_type,VALIDATED,https://en.wikipedia.org/wiki/Accessory_dwelling_unit,not named by any of the 9 competitors examined,"Genuine content-gap project type; ties to 2025 Oregon DEQ onsite-wastewater rule update addressing ADU/sewer-availability issues (see home pack 07-oregon-authority.md §2)"
Shop/Barn Pad,ProjectType,Shop or Barn Building Pad,,,Thing,5,project_type,VALIDATED_LOCAL,,not named explicitly by competitors as a project type,Rural/acreage-relevant project type per topical map §6.1
Subdivision Site Development,ProjectType,Subdivision Site Development,,,Thing,6,project_type,VALIDATED_LOCAL,,implied by 'commercial/residential development' language at several competitors,Commercial-converter project type per topical map §6.1 hub note
Commercial Site Development,ProjectType,Commercial Site Development,,,Thing,7,project_type,VALIDATED_LOCAL,,Emerald/McKenzie/BBC reference commercial site work generally,Ties to this page's role as "top commercial converter" per topical map
Willamette Valley,Place,Willamette Valley,,,Place,6,geo_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,Canonical form reused from home pack; clay-soil context relevant to rock/clay cost-overrun FAQ on this page
Eugene,City,"Eugene, Oregon",,,City,9,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,9/9 competitors serve,Canonical form reused from home pack
Springfield,City,"Springfield, Oregon",,,City,7,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Springfield,_Oregon,6/9 competitors serve,Canonical form reused from home pack
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,7,competitor,VALIDATED_LOCAL,https://alldirtinc.com/services/building-site-prep,n/a,"Has the most built-out dedicated site-prep page of the set (/services/building-site-prep) — 'the model to beat' finding from home pack still holds and is sharper on this specific page"
McKenzie Excavating,Organization,"McKenzie Excavating, Inc.",,,GeneralContractor,6,competitor,VALIDATED_LOCAL,https://www.mckenzieexcavatingor.com/excavating,n/a,Site prep folded into an "Excavating" page titled with "Grading & Site Prep" language; not a standalone URL
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/,n/a,Site prep mentioned in intro tagline and septic-support line only; no dedicated page
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,"Names ""Road Clearing & Site Prep"" as a homepage service category; no dedicated page"
Braun Excavating,Organization,Braun Excavating Inc.,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.braunexcavating.net/,n/a,Site prep is one word in a service list; not detailed
Strasheim Contracting,Organization,Strasheim Contracting,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.strasheimcontracting.com/excavation-team-eugene-or,n/a,Site prep is one word in a service list; not detailed
Emerald Excavating,Organization,Emerald Excavating,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.emeraldexc.com/,n/a,General "all phases of site work preparation" framing; no dedicated page found
A&D Excavation and Land Improvement,Organization,A&D Excavation and Land Improvement LLC,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://adexcavationllc.com/,n/a,Site prep mentioned once in an image caption only — least developed of the set on this specific topic
