entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,Zero external footprint confirmed; not a data error — greenfield business
David Deggelman,Person,David Deggelman,,,Person,7,owner,NOT_FOUND,,n/a,Owner; no external record found; do not fabricate bio details
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,9,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,"Numbering scheme and lookup tool confirmed real; verify exact license record live before publishing in schema"
Oregon Construction Contractors Board,GovernmentOrganization,Construction Contractors Board (Oregon),,,GovernmentOrganization,8,authority,VALIDATED,https://www.oregon.gov/ccb/,n/a,State licensing agency; oregon.gov/ccb
Oregon Department of Environmental Quality,GovernmentOrganization,Oregon Department of Environmental Quality,,,GovernmentOrganization,9,authority,VALIDATED,https://www.oregon.gov/deq/,n/a,Regulates septic under OAR 340-071
DEQ Onsite Wastewater Management Program,GovernmentService,DEQ Onsite Wastewater Management Program,,,GovernmentService,8,authority,VALIDATED,https://www.oregon.gov/deq/residential/pages/onsite.aspx,n/a,Governs septic install/repair certification
DEQ Installer Certification,Certification,DEQ Installer Certification,,,EducationalOccupationalCredential,8,trust_signal,VALIDATED,https://www.oregon.gov/deq/residential/pages/onsite-certification.aspx,n/a,Likely credential D&D holds; confirm exact cert name/number with David
OSHA 1926 Subpart P,GovernmentPermit,29 CFR 1926 Subpart P (Excavations),,,Legislation,6,authority,VALIDATED,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartP,n/a,Federal trench safety standard
Lane County Land Management Division,GovernmentOrganization,Lane County Land Management Division,,,GovernmentOrganization,7,authority,VALIDATED,https://www.lanecountyor.gov/,n/a,Permitting authority for grading/driveway/ROW work
Lane County,AdministrativeArea,"Lane County, Oregon",Q495409,,AdministrativeArea,10,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Lane_County,_Oregon,n/a,County seat Eugene; pop. 382971 (2020 census)
Eugene,City,"Eugene, Oregon",,,City,10,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,8/8 competitors serve,Tier 1 anchor city
