entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Excavation & Grading,Service,Excavation and Grading,,,Service,10,primary_service,VALIDATED_LOCAL,,10/10 competitors offer,"Primary entity for this page per topical map §6.2 — highest-volume head term"
General Excavation,Concept,General Excavation,,,Thing,8,core_scope,VALIDATED_LOCAL,,10/10 competitors offer some form,Digging/earthmoving for a defined purpose
Earthmoving,Concept,Earthmoving,,,Thing,6,synonym_scope,VALIDATED_LOCAL,,industry-standard synonym term,Used interchangeably with excavation in industry copy
Cut and Fill,ProcessEntity,Cut and Fill Grading,,,Thing,8,process_entity,VALIDATED_LOCAL,https://en.wikipedia.org/wiki/Cut_and_fill,"1/10 (All Dirt names it explicitly; industry-standard concept)","Canonical form reused from site-preparation/entity-inventory.csv row 17; canonical HOME for this entity is THIS page, not site-prep"
Backfill and Compaction,ProcessEntity,Backfill and Compaction,,,Thing,7,process_entity,VALIDATED_LOCAL,,1/10 (All Dirt explicit),All Dirt-validated inclusion per topical map §6.2; ties to Compaction entity reused from site-prep pack row 15
Rock Removal,ProcessEntity,Rock Removal,,,Thing,7,process_entity,VALIDATED_LOCAL,,1/10 (All Dirt explicit),"All Dirt-validated inclusion; genuine cost-honesty opportunity — $50-$200/cu yd vs $5-$15 standard, 10-40x increase"
Site Access Roads,ProcessEntity,Site Access Road Construction,,,Thing,6,process_entity,VALIDATED_LOCAL,,"3/10 (All Dirt, Heavy D, Tectonic)",All Dirt-validated inclusion; reuses Access Road / Driveway Cut canonical form from site-prep pack row 18
Erosion Control,ProcessEntity,Erosion and Sediment Control,,,Thing,6,process_entity,VALIDATED_LOCAL,,1/10 (All Dirt explicit),All Dirt-validated inclusion; reused canonical form from site-prep pack row 19; ties to DEQ 1200-C
Ripping (rock),ProcessEntity,Rock Ripping,,,Thing,4,process_entity,VALIDATED,,industry-standard term,"Preferred over blasting for soft-to-moderately-firm fractured rock; 50-65% cheaper than blasting"
Rock Blasting,ProcessEntity,Controlled Rock Blasting,,,Thing,3,process_entity,VALIDATED,,industry-standard term,"$55-$150+/cu yd depending on proximity to structures; used above ~1,000 cu yd or where ripping is too slow"
Grading & Leveling,Service,Grading and Leveling,,,Service,7,sibling_not_this_page,VALIDATED_LOCAL,,6/8 competitors offer some form,"Canonical form reused from home pack row 27 / site-prep pack row 22 — SIBLING page per cannibalization rule (topical map §16); this page does NOT own re-sloping/yard-leveling/finish-grading content"
Site Preparation,Service,Site Preparation,,,Service,8,parent_not_this_page,VALIDATED_LOCAL,,9/9 competitors reference,"Canonical form reused from home pack row 23 — UMBRELLA PARENT, not this page; site-prep-vs-excavation disambiguation already owned by ../site-preparation/08-gap-analysis.md Gap #1, do not repeat from scratch"
Foundation Excavation,Service,Foundation Excavation,,,Service,7,related_subservice,VALIDATED_LOCAL,,6/10 competitors offer,Canonical form reused from home/site-prep packs; down-link target
Utility Excavation,Service,Utility Excavation and Trenching,,,Service,7,related_subservice,VALIDATED_LOCAL,,6/10 competitors offer,Canonical form reused from home pack row 30; down-link target; scope fence: excavation FOR utilities, not installation
Drainage Excavation,Service,Drainage Excavation,,,Service,6,related_subservice,VALIDATED_LOCAL,,5/8 competitors offer,Canonical form reused from home pack row 29; down-link target
Excavator (mini / standard / long-reach),EquipmentCategory,Excavator,Q557056,,Product,6,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Excavator,0/10 competitors name specifically,Canonical form reused from home pack row 34
Skid steer loader,EquipmentCategory,Skid-Steer Loader,Q1548219,,Product,4,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Skid-steer_loader,0/10 competitors name specifically,Canonical form reused from home pack row 35
Bulldozer,EquipmentCategory,Bulldozer,Q179876,,Product,5,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Bulldozer,0/10 competitors name specifically,Canonical form reused from home pack row 36
Dump truck,EquipmentCategory,Dump Truck,Q752392,,Product,4,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Dump_truck,0/10 competitors name specifically,New equipment entity for this page; standard hauling equipment
Compactor,EquipmentCategory,Plate Compactor,,,Product,4,equipment_context,VALIDATED_LOCAL,,0/10 competitors name specifically,New equipment entity for this page; ties to Backfill and Compaction process entity
Caterpillar Inc.,Brand,Caterpillar Inc.,Q173395,,Brand,2,unconfirmed_equipment,NOT_FOUND_FOR_DD,https://en.wikipedia.org/wiki/Caterpillar_Inc.,n/a,Real brand; NOT confirmed as D&D's fleet — do not name without confirmation; reused caveat from home pack row 37
John Deere,Brand,John Deere,Q671631,,Brand,2,unconfirmed_equipment,NOT_FOUND_FOR_DD,https://en.wikipedia.org/wiki/John_Deere,n/a,Real brand; NOT confirmed as D&D's fleet; reused caveat from home pack row 38
Oregon Utility Notification Center (Oregon811),GovernmentService,Oregon 811 / Oregon Utility Notification Center (OUNC),,,GovernmentService,9,authority,VALIDATED,https://digsafelyoregon.com/,0/10 competitors mention,"NEW — verified directly on digsafelyoregon.com per task brief instruction; official legal name is Oregon Utility Notification Center, operating publicly as ""Oregon 811"""
Oregon Public Utility Commission,GovernmentOrganization,Oregon Public Utility Commission,,,GovernmentOrganization,7,authority,VALIDATED,https://www.oregon.gov/puc/,n/a,"Enforces Oregon dig laws; specific penalty amounts for skipping 811 not found in this pass — do not invent a figure"
Oregon Administrative Rules 952-001 (One-Call/Dig Law),Legislation,OAR 952-001,,,Legislation,5,authority,VALIDATED_LOCAL,,n/a,"2026 amendment changed locate ticket life from 45 to 30 days — distinct from the 2-business-day advance-notice requirement; do not conflate the two figures"
OSHA 1926 Subpart P,GovernmentPermit,29 CFR 1926 Subpart P (Excavations),,,Legislation,7,authority,VALIDATED,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartP,0/10 competitors mention,Reused verbatim from home/entity-inventory.csv row 9 — do not re-verify
Lane County Land Management Division,GovernmentOrganization,Lane County Land Management Division,,,GovernmentOrganization,7,authority,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division,n/a,Reused from home pack row 10 / site-prep pack row 6
Lane County Grading and Fill Permit,GovernmentPermit,Lane County Grading and Fill Permit,,,GovernmentPermit,8,process_entity,VALIDATED_LOCAL,https://willamettecraftworks.com/permitting/lane-county-or/,n/a,"Reused verbatim from site-preparation/entity-inventory.csv row 7 — do not re-verify; >50 cubic yards or slope steeper than 2:1, third-party-sourced, flag for direct LMD confirmation"
Oregon Water Resources Department,GovernmentOrganization,Oregon Water Resources Department (OWRD),,,GovernmentOrganization,6,authority,VALIDATED,https://www.oregon.gov/owrd/,n/a,"NEW — issues water-rights permits for ponds fed by a stream/spring or exceeding 9.2 acre-feet storage"
Oregon Department of State Lands,GovernmentOrganization,Oregon Department of State Lands (DSL),,,GovernmentOrganization,5,authority,VALIDATED,https://www.oregon.gov/dsl/,n/a,"NEW — regulates excavation/pond work affecting wetlands, streams, or salmon-bearing waterways"
Pond (project type),ProjectType,Pond Excavation,,,Thing,7,project_type,VALIDATED_LOCAL,,2/10 competitors name specifically (McKenzie, BBC),"Named directly in topical map §6.2 and task brief; genuine competitor gap — cost, process, and Oregon permitting all unaddressed by competitors"
Foundation Dig (project type),ProjectType,Foundation Dig,,,Thing,7,project_type,VALIDATED_LOCAL,,6/10 competitors name,Named directly in topical map §6.2
Building Pad (project type),ProjectType,Building/House/Shop/Barn Pad,,,Thing,6,project_type,VALIDATED_LOCAL,,implied by several competitors generically,"Named directly in topical map §6.2; overlaps with Shop/Barn Pad reused from site-prep pack row 25"
Driveway (project type),ProjectType,Driveway Excavation,,,Thing,7,project_type,VALIDATED_LOCAL,,5/10 competitors name,"Named directly in topical map §6.2; ties to future /driveway-repair/ page (topical map §6.9)"
Utility Run (project type),ProjectType,Utility Run Excavation,,,Thing,6,project_type,VALIDATED_LOCAL,,6/10 competitors name,"Named directly in topical map §6.2; ties to future /utility-excavation/ page (topical map §6.7 scope fence)"
Willamette Valley,Place,Willamette Valley,,,Place,6,geo_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,Canonical form reused from home pack row 22; clay-soil cost-overrun context
Eugene,City,"Eugene, Oregon",,,City,10,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,10/10 competitors serve,Canonical form reused from home pack row 12
