entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Grading & Leveling,Service,Grading and Leveling (standalone),,,Service,10,primary_service,VALIDATED_LOCAL,,6/8 competitors offer grading in some form; 0/8 as a standalone existing-yard service,"Primary entity for THIS page per topical map §6.3. Scope is standalone re-sloping/leveling of an EXISTING surface, not grading tied to a new dig — see Grading (construction-tied) row below"
Grading (construction-tied),Concept,Cut-and-Fill / Rough Grading (construction-tied),,,Thing,3,sibling_not_this_page,VALIDATED_LOCAL,,n/a,"NOT this page — grading that happens because something is being dug (cut/fill to design elevation, backfill/compaction, rough grading finishing a dig) is owned by Excavation & Grading (/excavation/), per that page's shipped H2 'What's the Difference Between Excavation and Grading?' Reused/contrasted, not re-derived"
Site Preparation,Service,Site Preparation,,,Service,4,sibling_not_this_page,VALIDATED_LOCAL,,9/9 competitors reference,"Canonical form reused from home pack row 23 — sibling page; grades a RAW/undeveloped lot before a NEW BUILD. This page grades an EXISTING lot/yard with a surface problem, no new construction necessarily involved. Do not repeat the site-prep-vs-excavation disambiguation already owned by ../site-preparation/08-gap-analysis.md Gap #1"
Excavation & Grading,Service,Excavation and Grading,,,Service,5,sibling_not_this_page,VALIDATED_LOCAL,,10/10 competitors offer,"Canonical form reused from excavation/entity-inventory.csv row 5 — sibling page per topical map §16 cannibalization rule (kept separate, cross-linked, differentiated by H1 framing). This page does not own cut/fill-during-a-dig, backfill/compaction, or rough grading that finishes an excavation project"
Drainage Excavation,Service,Drainage Excavation,,,Service,5,sibling_not_this_page_future,VALIDATED_LOCAL,,5/8 competitors offer some form,"Canonical form reused from home pack row 29 — future sibling page (not yet researched/built). Per topical map §16: 'drainage page owns the water-management intent [trenches, swales as dug features, channels], grading page owns the surface/slope intent [regrading the ground itself].' THIS page may mention swales and positive slope as a grading-level fix; a dug drainage trench/channel/system as its own feature is the future Drainage Excavation page's territory — cross-link, don't duplicate"
Driveway Repair,Service,Gravel Driveway Repair,,,Service,3,sibling_not_this_page,VALIDATED_LOCAL,,3/8 competitors offer,"Canonical form reused from home pack row 32 — per topical map §16 'Driveway Repair vs Driveway Grading: No — one page'; driveway regrading is a SECTION of the Driveway Repair page, not this page. Cross-link only, do not build out driveway-specific grading depth here"
Slope Stabilization,Service,Slope Stabilization,,,Service,3,sibling_not_this_page,VALIDATED_LOCAL,,1/8 competitors offer,"Canonical form reused from home pack row 33 — sibling support page; hillside erosion control requiring structural/engineering framing (retaining walls, slope stability analysis) belongs there, not here. This page covers ordinary surface-slope correction only, no structural claims"
Positive Drainage Slope,Concept,Positive Drainage Slope,,,Thing,9,core_concept,VALIDATED,https://codes.iccsafe.org/s/ORRC2023P1/chapter-4-foundations/ORRC2023P1-Pt03-Ch04-SecR401.3,0/8 competitors explain the standard,"The central technical concept for this page — grading the ground so water moves away from a structure rather than pooling. Defined precisely by ORSC/IRC R401.3 (see next row)"
Oregon Residential Specialty Code R401.3 (Drainage),Legislation,ORSC Section R401.3 — Drainage,,,Legislation,9,authority,VALIDATED,https://codes.iccsafe.org/s/ORRC2023P1/chapter-4-foundations/ORRC2023P1-Pt03-Ch04-SecR401.3,0/8 competitors cite any code standard,"VERIFIED DIRECTLY 2026-09-08 against ICC's published Oregon Residential Specialty Code (2017/2021/2023 editions all carry the same language): grade shall fall a minimum of 6 inches within the first 10 feet from the foundation (~5% slope); where physical barriers prohibit this, a minimum 5% slope plus a drain or swale is required; impervious surfaces within 10 feet of the foundation shall slope not less than 2% away from the building. This is the real, Oregon-adopted code standard — not a generic '2% rule' folk figure. This is the single most load-bearing authority citation on this page"
International Residential Code R401.3,Legislation,IRC R401.3 — Drainage (model code),,,Legislation,6,authority_context,VALIDATED,https://codes.iccsafe.org/s/IRC2024P2/chapter-4-foundations/IRC2024P2-Pt03-Ch04-SecR401.3,n/a,"The model code Oregon's ORSC is based on — identical substantive language; cite the Oregon-specific ORSC edition as primary, IRC as background context only"
Swale,Concept,Drainage Swale,,,Thing,7,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Swale_(landform),0/8 competitors define this term,"A shallow, graded surface channel that moves water by shaping the land itself — the grading-level solution to a drainage problem, distinct from a French drain (see next row). This page's territory"
French Drain,Concept,French Drain,,,Thing,5,adjacent_distinct_concept,VALIDATED,https://en.wikipedia.org/wiki/French_drain,0/8 competitors distinguish this from grading,"ADJACENT BUT DISTINCT — a buried perforated-pipe-in-gravel subsurface system, not a grading/surface-shaping solution. Topical map flags 'french drain installation' as SCOPE-CAUTION (home pack keyword row 70) pending confirmation with David; this page should explain the swale-vs-French-drain distinction for reader education but should NOT claim French drain installation as a D&D service unless confirmed"
Low Spot / Depression,Concept,Low Spot (yard),,,Thing,6,core_concept,VALIDATED_LOCAL,,0/8 competitors name this term specifically,"Common homeowner-language term for a negative-grade area that collects standing water — direct FAQ/problem-framing entity"
Negative Grade / Negative Slope,Concept,Negative Grade (toward structure),,,Thing,7,core_concept,VALIDATED,https://basc.pnnl.gov/resource-guides/final-grade-slopes-away-foundation,0/8 competitors name this term,"The inverse of positive drainage slope — ground sloping toward rather than away from a structure; the specific failure mode this page's core service corrects"
Erosion (surface),Concept,Surface Erosion,,,Thing,5,core_concept,VALIDATED_LOCAL,,0/8 competitors address for standalone yards,"Surface soil loss from uncorrected slope/runoff on an existing lawn or bank — distinct from the construction-phase 'erosion control' entity already owned by the site-preparation pack (DEQ 1200-C context); this page's erosion entity is smaller-scale, non-permit-triggering, existing-yard erosion"
Rough Grading (construction-tied),ProcessEntity,Rough Grading,,,Thing,2,sibling_not_this_page,VALIDATED_LOCAL,,n/a,"Reused/contrasted from site-preparation/entity-inventory.csv row 14 — belongs to site-prep/excavation pages when it finishes a dig or precedes a build; NOT this page's default framing"
Finish Grading (standalone),ProcessEntity,Finish/Fine Grading (existing lot),,,Thing,6,core_process,VALIDATED_LOCAL,,implied generically by several competitors,"Smoothing and final-shaping an EXISTING lawn/lot surface ahead of landscaping or hardscape, not tied to a new dig — this page's process entity, distinct from the construction-tied 'rough grading' above"
Cut and Fill Balancing (small-scale),ProcessEntity,Cut-and-Fill Balancing (yard-scale),,,Thing,4,core_process,VALIDATED_LOCAL,,current live page names this,"Small-scale material balancing within an existing yard regrade (moving high spots to fill low spots) — distinct from construction-project cut/fill, which is the Excavation & Grading page's larger-scale, dig-driven version of the same term"
Berm,Concept,Berm,,,Thing,4,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Berm,current live page names this,Raised earth feature shaped by grading to redirect surface water — grading-level solution, no dug drainage feature involved
Turf / Lawn Regrading,Concept,Turf and Lawn Regrading,,,Thing,6,core_concept,VALIDATED_LOCAL,,homeowner-language term found across cost-guide sources,"The homeowner-facing term for standalone yard grading; distinct from lawn-care topdressing (next row), which is a landscaping-company service, not earthwork"
Topdressing (sand/soil leveling),Concept,Lawn Topdressing,,,Thing,3,adjacent_not_verified,VALIDATED,https://homeguide.com/costs/cost-to-level-or-regrade-yard,n/a,"ADJACENT, LIKELY OUT OF SCOPE — a thin sand/soil layer spread over turf to fix minor unevenness (a lawn-care/landscaping technique, not earthwork). Cost-guide sources are explicit that topdressing and regrading are different remedies for different severities (shallow depressions vs. deeper ones/full drainage problems). Do not imply D&D performs topdressing as a lawn-care service — flag for confirmation with David; the safer, verified claim is that D&D performs the earthwork/regrading tier, not the cosmetic lawn-care tier"
HomeAdvisor Service Taxonomy Split,Concept,"""Landscape Minor Grading or Resloping"" vs. ""Excavation Major Grading or Resloping""",,,Thing,7,corroborating_evidence,VALIDATED,https://www.homeadvisor.com/tloc/Eugene-OR/Landscape-Minor-Grading-or-Resloping,n/a,"VERIFIED 2026-09-08 — HomeAdvisor's own service-category taxonomy independently splits 'landscape minor grading or resloping' (Eugene-specific category page exists) from 'excavation major grading or resloping' (cited in the topical map's own sources, Eugene/Oregon City category pages exist). This is real, third-party corroboration that the market itself already recognizes the same small-yard-regrade vs. major-excavation-grading distinction this page's scope boundary relies on — not an arbitrary split invented for this project"
