query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,gsc_imps,gsc_position,serp_features,target_page_slug,priority,notes
trenching services Eugene OR,SERP primary,transactional,decision,yes,scheduled,head,high,,,"local_pack,organic",trenching-services-eugene-oregon,P0,Primary keyword — local pack + organic competition; no dedicated Eugene trenching page exists
trench digging contractor Lane County,SERP primary,transactional,decision,yes,scheduled,mid,high,,,"ai_overview,local_pack",trenching-services-eugene-oregon,P0,AI Overview present — strong schema + entity signals needed; Braun + Oregon Excavating in local pack
utility trenching Springfield OR,SERP primary,transactional,decision,yes,scheduled,mid,high,,,"local_pack,organic",trenching-services-eugene-oregon,P1,Cojo Asphalt blog ranks #1 — D&D can displace with real local contractor page
irrigation trenching Oregon,SERP secondary,commercial/informational,consideration,partial,browse,mid,medium,,,"ai_overview,video,paa",trenching-services-eugene-oregon,P1,MASSIVE gap — no Eugene contractor ranks; Cojo blogs rank; YouTube heavy; D&D can own this
ditch digging Eugene Oregon,SERP secondary,transactional,decision,yes,scheduled,mid,high,,,"local_pack,organic",trenching-services-eugene-oregon,P1,"Ditch it!" + Innovative Underground in local pack; Yelp dominant; no contractor page ranks
trenching company Lane County Oregon,SERP secondary,transactional,decision,yes,scheduled,mid,high,,,local_pack,trenching-services-eugene-oregon,P1,Oregon Excavating + Braun in local pack; weak organic competitors
residential trenching Oregon,SERP secondary,commercial,consideration,partial,browse,mid,medium,,,"local_pack,paa",trenching-services-eugene-oregon,P1,Byrd Land Co + Cojo rank; Eugene contractors missing; seasonal (dry season scheduling)
trenching services Eugene or reviews,autocomplete (related search),navigational,consideration,yes,browse,long,low,,,,trenching-services-eugene-oregon,P2,Related search from "trenching services Eugene OR" — trust signals needed
best trenching services Eugene OR,autocomplete (related search),commercial,consideration,yes,browse,long,low,,,,trenching-services-eugene-oregon,P2,Related search — review signals + CCB credential matter
residential trenching services Eugene OR,autocomplete (related search),transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Explicit residential modifier — homeowner ICP
civil trenching services Eugene OR,autocomplete (related search),transactional,decision,yes,scheduled,long,medium,,,,trenching-services-eugene-oregon,P2,Commercial/civil modifier — secondary audience
trench digging contractor Lane County reviews,autocomplete (related search),navigational,consideration,yes,browse,long,low,,,,trenching-services-eugene-oregon,P2,Review-focused — needs real reviews eventually
residential trench digging contractor Lane County,autocomplete (related search),transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Residential modifier — homeowner segment
residential irrigation trenching Oregon,autocomplete (related search),commercial,consideration,partial,browse,long,medium,,,,trenching-services-eugene-oregon,P1,Irrigation sub-cluster — homeowner irrigation system angle
irrigation trenching Eugene Oregon,search intent expansion,commercial/transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P0,Highest-priority unclaimed angle — no Eugene contractor ranks; combine with primary page
sprinkler trenching Eugene OR,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Homeowner sprinkler system angle — very common project type
irrigation ditch contractor Lane County,search intent expansion,transactional,decision,yes,scheduled,long,medium,,,,trenching-services-eugene-oregon,P1,Agricultural + acreage properties — Willamette Valley rural land
ditch digging Lane County,search intent expansion,transactional,decision,yes,scheduled,long,medium,,,,trenching-services-eugene-oregon,P1,Broader ditch query without city modifier
ditch digging contractor Eugene,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Direct contractor query; Innovative Underground (53 reviews) owns local pack
how much does trenching cost Oregon,PAA/informational,informational,awareness,partial,browse,long,low,,,"ai_overview,organic",trenching-services-eugene-oregon,P2,Cost research query — Cojo + Oregon Drain Cleaning rank; D&D needs honest ranges
trenching cost per foot Oregon,search intent expansion,informational,awareness,partial,browse,long,low,,,,trenching-services-eugene-oregon,P2,Oregon Drain Cleaning publishes $12-25/ft standard; D&D should match/exceed
how much to trench 100 feet,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,Very common cost question; national data available; Oregon premium ~20% above US median
how much to trench 300 feet,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,From irrigation trenching PAA tree
how deep to bury irrigation line Oregon,PAA/search,informational,awareness,partial,browse,long,low,,,,trenching-services-eugene-oregon,P1,Zero competitors answer this with specific Oregon figures — own it
what depth irrigation lines Oregon,search intent expansion,informational,awareness,partial,browse,long,low,,,,trenching-services-eugene-oregon,P1,Variant of above — irrigation depth question
how deep to bury sprinkler system Oregon,search intent expansion,informational,awareness,partial,browse,long,low,,,,trenching-services-eugene-oregon,P1,Sprinkler system homeowner variant
how deep irrigation mainline Oregon,search intent expansion,informational,awareness,partial,browse,long,low,,,,trenching-services-eugene-oregon,P1,More specific irrigation mainline query
