query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
french drain installation eugene or,serp,commercial,decision,y,scheduled,head,high,/drainage-excavation/,P0,Primary page target
french drain installation eugene oregon,serp,commercial,decision,y,scheduled,head,high,/drainage-excavation/,P0,Full state-name variant
french drain installation lane county,serp,commercial,decision,y,scheduled,head,high,/drainage-excavation/,P0,County-wide framing
french drain contractor eugene or,autocomplete,commercial,decision,y,scheduled,mid,high,/drainage-excavation/,P0,Contractor-language variant
french drain installers near me,autocomplete,commercial,decision,y,scheduled,mid,high,/drainage-excavation/,P0,Device-located generic
french drain company springfield oregon,serp,commercial,decision,y,scheduled,mid,high,/drainage-excavation/,P1,City variant
yard drainage trench cost oregon,serp,commercial,consideration,y,scheduled,mid,high,/drainage-excavation/,P0,Task-brief seed term
drainage trench installation cost,homeguide,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Cost query
french drain cost per linear foot,homeguide,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Real sourced range available ($10-100/ft)
french drain cost oregon,serp,commercial,consideration,y,scheduled,mid,high,/drainage-excavation/,P0,Local cost variant
how much does a french drain cost,angi,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Head cost query
cost to install french drain around house,serp,commercial,consideration,n,scheduled,long,med,/drainage-excavation/,P1,Foundation-adjacent variant
dry well installation lane county,autocomplete,commercial,decision,y,scheduled,mid,high,/drainage-excavation/,P0,Task-brief seed term
dry well installation cost,lawnlove,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Real sourced range ($1,165-$4,420)
dry well cost eugene oregon,serp,commercial,consideration,y,scheduled,long,med,/drainage-excavation/,P1,Local cost variant
catch basin installation cost,homeguide,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Task-brief seed term
catch basin installation eugene or,serp,commercial,decision,y,scheduled,mid,med,/drainage-excavation/,P1,Local variant
catch basin drainage yard,autocomplete,informational,awareness,n,browse,mid,low,/drainage-excavation/,P2,Definitional intent
drainage pipe installation cost per foot,serp,commercial,consideration,n,scheduled,mid,high,/drainage-excavation/,P0,Task-brief seed term
underground drain pipe installation cost,serp,commercial,consideration,n,scheduled,mid,med,/drainage-excavation/,P1,Synonym variant
standing water in yard french drain,serp,problem_solution,consideration,n,scheduled,long,med,/drainage-excavation/,P0,Task-brief seed term
standing water in backyard after rain oregon,serp,problem_solution,consideration,y,scheduled,long,med,/drainage-excavation/,P1,Problem-framed local
soggy backyard fix,autocomplete,problem_solution,awareness,n,browse,mid,med,/drainage-excavation/,P1,Homeowner-language problem
yard floods every winter eugene,serp,problem_solution,consideration,y,scheduled,long,med,/drainage-excavation/,P1,Willamette Valley seasonal problem framing
flooded crawlspace drainage solution,serp,problem_solution,consideration,n,scheduled,long,med,/drainage-excavation/,P1,Foundation-adjacent problem (not code-triggered)
wet spot in lawn wont dry,autocomplete,problem_solution,awareness,n,browse,mid,low,/drainage-excavation/,P2,Homeowner-language
