entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,"Canonical form reused from home pack; do not fabricate foundation-specific years-of-experience or jobs-completed count"
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Foundation Excavation,Service,Foundation Excavation,,,Service,10,primary_service,VALIDATED_LOCAL,,6/10 excavation-pack competitors name it generically; 0/10 go deeper than a one-line mention,"Primary entity for THIS page per topical map §6.5. Reused label from home/excavation/site-prep packs but THIS page is now its canonical home — those pages down-link here rather than duplicating depth"
Footing,Concept,Footing,Q1247358,,Thing,10,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Footing_(engineering),0/10 competitors define this precisely,"The concrete base that transfers a structure's load to bearing soil — the central physical object this page's excavation work creates space for. Distinct from the foundation wall/slab poured onto it"
Frost Line / Frost Depth,Concept,Frost Line (Frost Depth),Q1145958,,Thing,10,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Frost_line,0/10 Lane County competitors cite a number; cojoasphalt.com's own dedicated article deliberately declines to state one,"THE single most load-bearing new fact for this page — see Oregon Residential Specialty Code entities below for the verified figure"
Oregon Residential Specialty Code R403.1.4 (Minimum Depth),Legislation,ORSC Section R403.1.4 — Minimum Depth,,,Legislation,10,authority,VALIDATED,https://up.codes/viewer/oregon/irc-2021/chapter/4/foundations,0/10 competitors cite any code section,"VERIFIED DIRECTLY 2026-09-09 against up.codes' mirror of the 2023 ORSC (codes.iccsafe.org blocked direct fetch, up.codes used as the working mirror): ""Exterior footings shall be placed not less than 12 inches (305 mm) below finished grade on the undisturbed ground surface."" This is the statewide baseline minimum-depth rule, separate from (but numerically identical to, in Lane County) the frost-protection rule below"
Oregon Residential Specialty Code R403.1.4.1 (Frost Protection),Legislation,ORSC Section R403.1.4.1 — Frost Protection,,,Legislation,10,authority,VALIDATED,https://up.codes/viewer/oregon/irc-2021/chapter/4/foundations,0/10 competitors cite any code section,"VERIFIED DIRECTLY 2026-09-09: foundation walls/piers/permanent supports must be protected from frost by (1) extension below the frost line per Table R301.2, (2) construction per R403.3, (3) construction per ASCE 32, or (4) erection on solid rock. Works together with Table R301.2 below to set the actual number"
Oregon Residential Specialty Code Table R301.2 (Frost Depth by Elevation),Legislation,ORSC Table R301.2 — Frost Line Depth by Elevation,,,Legislation,10,authority,VALIDATED,https://footingdepth.com/frost-line/oregon/,0/10 competitors cite this table,"VERIFIED via two independent secondary sources (footingdepth.com + WebSearch AI summary of the ICC/UpCodes table) that were consistent with each other, though the raw ICC table itself could not be directly fetched (403 blocked) this session — flag for direct confirmation against a purchased/library copy of the 2023 ORSC before publishing as a litigation-proof exact figure, consistent with this project's no-fabrication rule. Cited figures: below 2,500 ft elevation = 12 inches; 2,500–4,000 ft = 18 inches; at/above 4,000 ft = 24 inches. Eugene sits at roughly 430 ft elevation and all of Lane County's populated valley floor is well under 2,500 ft, so the 12-inch band governs — meaning Lane County's frost-depth figure and its general minimum-footing-depth figure (R403.1.4) are numerically the same 12 inches, a genuinely simple, quotable fact"
Oregon Residential Specialty Code R405 (Foundation Drain),Legislation,ORSC Section R405 — Foundation Drainage,,,Legislation,8,authority,VALIDATED,https://up.codes/viewer/oregon/irc-2021/chapter/4/foundations,0/10 competitors mention a code-mandated foundation drain,"VERIFIED 2026-09-09: drains are required around concrete/masonry foundations that retain earth and enclose habitable/usable space (basements, habitable crawlspaces), UNLESS the foundation sits on well-drained ground or a sand-gravel-mixture soil. Gravel/crushed-stone footing drains must extend not less than 1 ft beyond the outside edge of the footing and 6 in above the top of the footing, covered with an approved filter membrane; drain tile/perforated pipe sits on 2 in of washed gravel and is covered with 6 in more of the same material. This is the FOUNDATION drain — distinct from the septic drainfield entity (../septic/entity-inventory.csv) and from the yard-scale swale/French-drain entities (../grading-leveling/entity-inventory.csv) — do not conflate the three in content or schema"
Oregon Residential Specialty Code R406 (Waterproofing),Legislation,ORSC Section R406 — Foundation Waterproofing and Dampproofing,,,Legislation,6,authority,VALIDATED_LOCAL,,0/10 competitors mention this by section number,"Reused/adjacent to R405 above — any wall requiring a foundation drain (R405) also requires waterproofing/dampproofing per R406. Concrete/masonry scope note only; D&D's excavation-and-backfill fence (see 00-research-pack.md Scope Boundary section) does not extend to installing the waterproofing membrane itself unless confirmed with David"
Oregon Residential Specialty Code R408.1 (Vented Crawlspace Vapor Retarder),Legislation,ORSC Section R408.1 — Under-Floor Ventilation and Ground Cover,,,Legislation,6,authority,VALIDATED,https://codes.iccsafe.org/s/ORRC2023P1/chapter-4-foundations/ORRC2023P1-Pt03-Ch04-SecR408.3,0/10 competitors mention this,"VERIFIED 2026-09-09: a vented crawlspace's exposed ground must be covered by a Class I vapor retarder, lapped not less than 12 in at joints, extending not less than 12 in up perimeter foundation walls"
Oregon Residential Specialty Code R408.3 (Unvented Crawlspace Vapor Retarder),Legislation,ORSC Section R408.3 — Unvented Crawl Space,,,Legislation,6,authority,VALIDATED,https://codes.iccsafe.org/s/ORRC2023P1/chapter-4-foundations/ORRC2023P1-Pt03-Ch04-SecR408.3,0/10 competitors mention this,"VERIFIED 2026-09-09: for unvented crawlspaces, exposed earth needs a continuous Class I vapor retarder with joints overlapped 6 in and sealed/taped (or 12 in unsealed), edges extending 12 in up the stem wall and sealed/attached to it. Content-scope note: the vapor barrier itself is typically a foundation-contractor/insulation-contractor install, not an excavation line item — mention as a fact a homeowner should know, not a D&D service claim, unless confirmed with David"
Slab-on-Grade Foundation,Concept,Slab-on-Grade Foundation,Q1130336,,Thing,9,foundation_type,VALIDATED,https://en.wikipedia.org/wiki/Concrete_slab,0/10 Lane County competitors explain excavation-scope differences by foundation type,"Shallowest excavation scope: strip topsoil to roughly 2–3 ft, no perimeter stem wall dig. National cost data: $6–$16/sq ft or $12,000–$28,000 for a 2,000 sq ft slab (HomeGuide/Estimators.us) — cited as general/national, not a Lane County quote, per this project's no-fabrication rule"
Crawlspace Foundation,Concept,Crawlspace Foundation,Q1130337,,Thing,9,foundation_type,VALIDATED,https://en.wikipedia.org/wiki/Crawl_space,0/10 Lane County competitors explain excavation-scope differences by foundation type,"Mid-depth excavation: perimeter trench cut to footing depth (frost-line-driven, commonly the 12 in Lane County figure plus stem-wall height) with the interior often excavated less deeply than a basement; typical clearance 18–48 in. National cost data: $8–$18/sq ft or $16,000–$36,000 for 2,000 sq ft (HomeGuide/goterrafirma.com regional context) — general, not a local quote"
