query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
site preparation eugene or,serp,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,Primary page target keyword
site preparation eugene oregon,serp,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,Full state-name variant
site preparation lane county or,serp,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,County-wide variant
site preparation lane county oregon,serp,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,County-wide full-state variant
site prep eugene or,autocomplete,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,Shorthand variant
site prep eugene oregon,autocomplete,commercial,decision,y,scheduled,head,high,/site-preparation/,P0,Shorthand variant
site prep company eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P1,"""company"" modifier"
site prep contractor eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,"""contractor"" modifier"
site preparation contractor lane county,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,"""contractor"" modifier"
site preparation company lane county,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P1,"""company"" modifier"
building site preparation eugene or,serp,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,"Matches All Dirt's exact page title language (""Building Site Prep"")"
building site preparation springfield or,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,Springfield geo variant
construction site preparation lane county,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,"""construction"" modifier"
land preparation eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,"""land preparation"" phrasing variant"
land prep for new construction lane county,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief seed keyword
lot preparation eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,"""lot preparation"" phrasing variant"
lot prep for house build oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief seed keyword
lot clearing and grading for house build,systematic_variant,commercial,consideration,n,scheduled,long,high,/site-preparation/,P0,Task brief seed keyword
site prep near me,autocomplete,commercial,decision,n,scheduled,head,high,/site-preparation/,P0,High-volume generic local-intent query
site preparation near me,autocomplete,commercial,decision,n,scheduled,head,high,/site-preparation/,P0,Full-phrase near-me variant
land prep near me,autocomplete,commercial,decision,n,scheduled,mid,med,/site-preparation/,P1,Near-me variant
lot clearing and grading near me,autocomplete,commercial,decision,n,scheduled,mid,med,/site-preparation/,P1,Near-me variant
building pad prep oregon,systematic_variant,commercial,consideration,y,scheduled,mid,high,/site-preparation/,P0,Task brief seed keyword
building pad preparation eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,Geo variant of pad-prep seed
house pad preparation lane county,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,Consumer phrasing of "building pad"
what is site preparation,serp,informational,awareness,n,browse,mid,low,/site-preparation/,P0,"Quora-sourced definitional query — disambiguation-gap FAQ target"
site preparation vs excavation,systematic_variant,informational,consideration,n,browse,mid,med,/site-preparation/,P0,"Core umbrella-hub disambiguation keyword per task brief's central gap"
difference between site prep and excavation,systematic_variant,informational,consideration,n,browse,long,med,/site-preparation/,P0,Long-tail disambiguation variant
is site prep the same as grading,systematic_variant,informational,consideration,n,browse,long,low,/site-preparation/,P1,Disambiguation variant
what does site prep include,systematic_variant,informational,consideration,n,browse,mid,med,/site-preparation/,P0,Scope-definition query
what's included in site preparation,systematic_variant,informational,consideration,n,browse,mid,med,/site-preparation/,P1,Scope-definition variant
site preparation checklist,serp,informational,consideration,n,browse,mid,low,/site-preparation/,P2,"Ranked by Level One Grading, Building's Guide — informational competitor content"
steps in the site preparation process,systematic_variant,informational,consideration,n,browse,long,low,/site-preparation/,P1,Process-sequence query
site preparation process for construction,serp,informational,consideration,n,browse,mid,low,/site-preparation/,P2,Ranked by Shilling Excavation
rough grading vs finish grading,systematic_variant,informational,consideration,n,browse,mid,low,/grading-leveling/,P2,Down-link candidate — industry-standard distinction
what is subgrade compaction,systematic_variant,informational,awareness,n,browse,mid,low,/site-preparation/,P2,Process-entity definitional query
what is topsoil stripping,systematic_variant,informational,awareness,n,browse,mid,low,/site-preparation/,P3,Process-entity definitional query
site preparation cost oregon,serp,commercial,consideration,y,scheduled,mid,high,/site-preparation/,P0,Cost query — no Lane-County-specific figure found; use statewide/national ranges
site preparation cost eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,Geo-scoped cost variant
site preparation cost per acre oregon,serp,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief seed keyword
how much does site preparation cost,serp,commercial,consideration,n,scheduled,mid,high,/site-preparation/,P0,"Ranked by Angi — answered: $8,000-$50,000+ depending on complexity"
site prep cost per square foot,serp,commercial,consideration,n,scheduled,mid,med,/site-preparation/,P1,"Ranked by Saga Infrastructure — answered: $0.11-$1.50+/sq ft by difficulty tier"
cost to clear and grade a lot oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P1,Cost variant
cost to prepare land for building oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief-adjacent cost query
minimum budget for site prep before construction,systematic_variant,commercial,consideration,n,scheduled,long,med,/site-preparation/,P2,"Answered: ~$5,000 baseline recommendation per cost-guide sources"
cut and fill cost per cubic yard,serp,commercial,consideration,n,scheduled,mid,med,/site-preparation/,P2,"Answered: ~$2.25-$3.00/cubic yard for straightforward cut/fill"
cost to excavate rock during site prep,systematic_variant,commercial,consideration,n,scheduled,long,med,/site-preparation/,P1,"Answered: rock runs $50-$200/cu yd vs $5-$15 standard — 10-40x jump"
what does it cost if excavation hits rock,serp,commercial,consideration,n,scheduled,long,med,/site-preparation/,P1,Rock cost-overrun variant
how much does clay soil add to excavation cost,systematic_variant,commercial,consideration,y,scheduled,long,med,/site-preparation/,P1,"Answered: clay documented to add ~25-50% to excavation costs"
is a geotechnical study worth it before building,systematic_variant,informational,consideration,n,browse,long,low,/site-preparation/,P2,"Answered: $2,000-$5,000 study typically prevents 20-50% cost overruns"
site prep cost for ADU oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief seed keyword — ADU project type
ADU site prep eugene,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,Task brief seed keyword
ADU site preparation cost oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,ADU + cost combined variant
accessory dwelling unit site prep lane county,systematic_variant,commercial,consideration,y,scheduled,long,med,/site-preparation/,P1,Full-term ADU variant
does ADU site prep cost less than a full house,systematic_variant,informational,consideration,n,browse,long,low,/site-preparation/,P2,Question-mine-sourced ADU nuance
site prep for shop building oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief project-type seed
site prep for barn pad lane county,systematic_variant,commercial,consideration,y,scheduled,long,med,/site-preparation/,P1,Task brief project-type seed
shop pad preparation eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,Rural/acreage project-type variant
barn pad preparation oregon,systematic_variant,commercial,decision,y,scheduled,mid,med,/site-preparation/,P1,Rural/acreage project-type variant
building pad for metal building oregon,systematic_variant,commercial,consideration,y,scheduled,long,med,/site-preparation/,P2,Adjacent shop/barn pad query
subdivision site development lane county,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P0,Task brief project-type seed — commercial converter angle
subdivision site preparation oregon,systematic_variant,commercial,consideration,y,scheduled,long,high,/site-preparation/,P1,Subdivision variant
commercial site preparation eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,Task brief project-type seed — commercial converter angle
commercial site development lane county,systematic_variant,commercial,consideration,y,scheduled,mid,high,/site-preparation/,P0,Commercial project-type variant
new home site prep eugene oregon,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,Primary residential project-type variant
new construction site prep lane county,systematic_variant,commercial,decision,y,scheduled,mid,high,/site-preparation/,P0,Primary residential project-type variant
site prep before house build oregon,systematic_variant,commercial,consideration,y,scheduled,long,med,/site-preparation/,P1,Sequencing-adjacent commercial query
