entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,/g/11v4_qr1xm,LocalBusiness,1.0,Primary subject,VALIDATED_LOCAL,https://ddlandworks.com,9/9,Reused from all prior packs
David Deggelman,Person,David Deggelman,,,Person,0.9,Owner/operator,VALIDATED_LOCAL,,9/9,Reused from all prior packs
Oregon Construction Contractors Board,Organization,Oregon Construction Contractors Board,,/g/1q5b6h1kp,GovernmentOrganization,0.8,Licensing authority,VALIDATED,https://www.oregon.gov/ccb,9/9,Reused
CCB #261742,Identifier,Oregon CCB License #261742,,,License,0.9,Trust signal,VALIDATED_LOCAL,,9/9,Reused; verify at ccblookup.com
Oregon DEQ,Organization,Oregon Department of Environmental Quality,,/g/1thd1v3g,GovernmentOrganization,0.7,Certification authority,VALIDATED,https://www.oregon.gov/deq,6/9,Relevant for sewer lateral to septic connections
Lane County,AdministrativeArea,Lane County Oregon,Q1140557,/g/1q5b6h1wv,AdministrativeArea,0.95,Primary service area,VALIDATED,https://www.wikidata.org/wiki/Q1140557,9/9,Reused
Eugene Oregon,City,Eugene Oregon,Q41087,/g/1q5b6g7x5,City,0.95,Primary location target,VALIDATED,https://www.wikidata.org/wiki/Q41087,9/9,Reused
Springfield Oregon,City,Springfield Oregon,Q58741,/g/1q5b6g7x6,City,0.7,Secondary location target,VALIDATED,https://www.wikidata.org/wiki/Q58741,7/9,Reused
Willamette Valley,Place,Willamette Valley,Q1033440,,Place,0.6,Regional context,VALIDATED,https://www.wikidata.org/wiki/Q1033440,6/9,Reused
Oregon Utility Notification Center,Organization,Oregon Utility Notification Center,,,GovernmentOrganization,0.9,Governing body behind OR811,VALIDATED,https://digsafelyoregon.com,5/9,ORS Chapter 757
Oregon 811,Service,Oregon 811 (Dig Safely Oregon),,/g/1q5b6f1pq,Service,0.95,Mandatory pre-dig notification,VALIDATED,https://digsafelyoregon.com,5/9,2 business days; tickets 30 days (2025 change); free
Water Service Line,Service/Utility,Water Service Line,,,Service,0.9,Primary utility type,VALIDATED,https://www.lanecountyor.gov,3/9,24" burial depth; OPSC 609.1; Lane County official page
Sewer Lateral,Service/Utility,Sanitary Sewer Lateral,,,Service,0.9,Primary utility type,VALIDATED,https://www.lanecountyor.gov,4/9,12" minimum cover; OPSC 718.1; ¼"/ft slope
Underground Gas Piping,Service/Utility,Underground Gas Piping,,,Service,0.8,Primary utility type,VALIDATED,https://www.lanecountyor.gov,2/9,18" standard; 8" outdoor appliances; ORSC G2415.12
Underground Electrical Conduit,Service/Utility,Underground Electrical Conduit,,,Service,0.8,Primary utility type,VALIDATED,https://wireref.com/burial-depth/,3/9,NEC Table 300.5; 6-24" depending on method; OESC-adopted no depth amendments
Joint Trench,Practice,Joint Utility Trench,,,Service,0.7,Cost-saving practice; zero-competitor,VALIDATED,https://www.lanecountyor.gov,0/9,Multiple utilities one trench; code-permitted; water 12" above sewer (OPSC 720.1)
Tracer Wire,Material,Utility Tracer Wire,,,Product,0.6,Required detail; zero-competitor,VALIDATED,https://www.lanecountyor.gov,0/9,Blue 14AWG water; Green 14AWG sewer; Yellow 18AWG gas
Oregon Plumbing Specialty Code,LegalDocument,Oregon Plumbing Specialty Code,,,LegalDocument,0.7,Code authority for water/sewer,VALIDATED,https://www.oregon.gov/bcd/codes-stand/Pages/plumbing.aspx,2/9,OPSC 609.1 water; 718.1 sewer; 720.1 separation
Oregon Residential Specialty Code,LegalDocument,Oregon Residential Specialty Code,,,LegalDocument,0.7,Code authority for gas,VALIDATED,https://www.oregon.gov/bcd/codes-stand/Pages/residential.aspx,1/9,ORSC G2415.12 gas piping
National Electrical Code Table 300.5,LegalDocument,NEC Table 300.5,Q1195563,,LegalDocument,0.7,Code authority for electrical burial,VALIDATED,https://wireref.com/burial-depth/,2/9,Adopted by Oregon OESC with no depth amendments
Oregon Electrical Specialty Code,LegalDocument,Oregon Electrical Specialty Code,,,LegalDocument,0.6,Oregon electrical code,VALIDATED,https://www.oregon.gov/bcd/codes-stand/Pages/electrical.aspx,1/9,Adopts NEC Table 300.5; no depth amendments confirmed
