query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
land clearing eugene or,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P0,Primary page target keyword (topical map §5 P0 row)
land clearing eugene oregon,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P0,Full state-name variant
land clearing lane county or,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P0,County-wide variant
land clearing lane county oregon,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P0,County-wide full-state variant
land clearing springfield oregon,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P0,Tier 1 city variant
land clearing services eugene or,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P1,"""Services"" variant"
land clearing company eugene oregon,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P1,"""Company"" variant"
land clearing contractor near me,serp,commercial,decision,n,scheduled,head,high,/land-clearing/,P0,High-volume device-located generic query
lot clearing eugene oregon,serp,commercial,decision,y,scheduled,head,high,/land-clearing/,P1,Synonym term - "lot" phrasing
property clearing eugene oregon,serp,commercial,decision,y,scheduled,mid,medium,/land-clearing/,P2,Synonym term - "property" phrasing
vegetation removal eugene oregon,serp,commercial,decision,y,scheduled,mid,medium,/land-clearing/,P2,All Dirt's own page-title phrasing ("Vegetation Removal")
clear wooded lot lane county,serp,commercial,consideration,y,scheduled,long,high,/land-clearing/,P1,Task-brief seed term - the heaviest-scope project type
clear a lot for building eugene,serp,commercial,decision,y,scheduled,long,high,/land-clearing/,P0,Pre-construction project-type phrasing
clearing land for new construction oregon,serp,commercial,decision,n,scheduled,long,high,/land-clearing/,P1,Project-type phrasing
land clearing for house pad oregon,serp,commercial,decision,n,scheduled,long,medium,/land-clearing/,P2,Project-type phrasing
land clearing before building a house,informational,commercial,consideration,n,browse,long,medium,/land-clearing/,P2,Pre-purchase research phrasing
tree and stump removal for building,informational,commercial,consideration,n,browse,long,medium,/land-clearing/,P1,"Scope-nuance term - ties directly to the ""tree/stump within a clearing job"" entity finding"
acreage clearing cost oregon,serp,commercial investigation,consideration,n,browse,long,high,/land-clearing/,P0,Task-brief seed term
acreage clearing lane county,serp,commercial,decision,y,scheduled,long,medium,/land-clearing/,P1,Rural-acreage project-type variant
clearing land for pasture,serp,commercial investigation,consideration,n,browse,long,medium,/land-clearing/,P0,Task-brief seed term - distinct project type/cost tier
clearing land for hobby farm oregon,informational,commercial,consideration,n,browse,long,medium,/land-clearing/,P2,Rural project-type variant
clearing overgrown acreage oregon,informational,commercial,consideration,n,browse,long,medium,/land-clearing/,P1,Matches current live page hero copy ("a parcel that's sat untouched for years")
forestry mulching vs clearing,informational,informational,awareness,n,browse,long,low,/land-clearing/,P2,Task-brief seed term - adjacent-method comparison content
forestry mulching vs land clearing cost,informational,informational,consideration,n,browse,long,low,/land-clearing/,P2,Cost-comparison informational query
lot clearing cost per acre oregon,serp,commercial investigation,consideration,n,browse,long,high,/land-clearing/,P0,Task-brief seed term
land clearing cost per acre,serp,commercial investigation,consideration,n,browse,mid,high,/land-clearing/,P0,National head term with strong Oregon-adjacent volume
land clearing cost eugene oregon,serp,commercial investigation,consideration,y,browse,long,high,/land-clearing/,P0,Local cost-anchor query
how much does it cost to clear land in oregon,serp,informational,consideration,n,browse,long,high,/land-clearing/,P1,Full-question phrasing
how much does land clearing cost per acre,serp,informational,consideration,n,browse,long,high,/land-clearing/,P1,Full-question phrasing
land clearing cost calculator,serp,informational,consideration,n,browse,mid,medium,/land-clearing/,P3,Tool-intent query - low direct-content match but high volume
what does land clearing include,paa,informational,consideration,n,browse,mid,medium,/land-clearing/,P0,Direct PAA phrasing - Danco's own FAQ uses this exact question
what is included in land clearing,paa,informational,consideration,n,browse,mid,medium,/land-clearing/,P1,PAA variant phrasing
land clearing vs brush clearing,serp,informational,consideration,n,browse,mid,medium,/land-clearing/,P0,"Scope-boundary query - directly answers this pack's central finding; also relevant to /brush-clearing/"
difference between land clearing and brush clearing,serp,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Full-phrase PAA variant
land clearing vs tree removal,serp,informational,consideration,n,browse,mid,medium,/land-clearing/,P1,"Scope-boundary query against an adjacent, non-D&D-offered category"
land clearing vs lot clearing,serp,informational,awareness,n,browse,mid,low,/land-clearing/,P3,Synonym-clarification query
what happens to trees after land clearing,paa,informational,consideration,n,browse,long,medium,/land-clearing/,P0,Task-brief seed term - debris-disposal-method question
what do contractors do with cleared debris,informational,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Debris-disposal-method question
does land clearing include stump removal,paa,informational,consideration,n,browse,long,medium,/land-clearing/,P0,Direct scope-nuance PAA question
land clearing with stump grinding oregon,serp,commercial,decision,n,scheduled,long,medium,/land-clearing/,P2,Scope-adjacent query
do I need a permit to clear land in oregon,serp,informational,consideration,n,browse,long,high,/land-clearing/,P0,Task-brief seed term
do I need a permit to clear trees in lane county,serp,informational,consideration,y,browse,long,high,/land-clearing/,P0,Task-brief seed term - Eugene/Springfield significant-tree ordinance angle
eugene significant tree removal permit,serp,informational,consideration,y,browse,long,medium,/land-clearing/,P1,Direct authority-signal query (EC 9.6885)
springfield tree felling permit,serp,informational,consideration,y,browse,long,medium,/land-clearing/,P1,Direct authority-signal query (Springfield permit)
do you need a permit to remove trees on your own property oregon,serp,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Broader property-rights framing
wetland restrictions land clearing oregon,informational,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Task-brief seed term - DSL removal-fill angle
riparian buffer clearing rules oregon,informational,informational,consideration,n,browse,long,low,/land-clearing/,P2,DSL/riparian authority-signal query
can I clear land near a stream in oregon,informational,informational,consideration,n,browse,long,medium,/land-clearing/,P1,DSL removal-fill practical-question phrasing
burn permit for slash pile oregon,serp,informational,consideration,n,browse,long,medium,/land-clearing/,P0,Task-brief seed term - ODF slash-burn angle
slash burning rules lane county,serp,informational,consideration,y,browse,long,medium,/land-clearing/,P0,Task-brief seed term - LRAPA/ODF multi-agency angle
do I need a burn permit to burn brush in oregon,serp,informational,consideration,n,browse,long,medium,/land-clearing/,P1,DEQ backyard-burning angle
can I burn debris after clearing land in oregon,informational,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Combined ODF/DEQ/LRAPA framing question
oregon department of forestry burn permit,serp,informational,consideration,n,browse,mid,low,/land-clearing/,P2,Direct authority entity query
lane regional air protection agency burning rules,serp,informational,consideration,y,browse,long,low,/land-clearing/,P2,Direct authority entity query
oregon forest practices act residential land clearing,informational,informational,awareness,n,browse,long,low,/land-clearing/,P2,Task-brief seed term - applicability-clarification content
does forest practices act apply to my property oregon,informational,informational,awareness,n,browse,long,low,/land-clearing/,P3,Applicability-clarification question
clearing land for building vs clearing for pasture,informational,informational,consideration,n,browse,long,medium,/land-clearing/,P1,Task-brief seed term - project-type/cost distinction
new build lot clearing eugene oregon,serp,commercial,decision,y,scheduled,long,high,/land-clearing/,P1,Project-type variant
rural land clearing oregon,serp,commercial,decision,n,scheduled,mid,medium,/land-clearing/,P1,Rural-acreage variant
timber lot clearing oregon,serp,commercial,decision,n,scheduled,mid,medium,/land-clearing/,P2,Heavy-timber project-type variant
clearing land with standing timber,informational,commercial,consideration,n,browse,long,medium,/land-clearing/,P2,Heavy-timber project-type variant
how to clear a wooded lot,informational,informational,awareness,n,browse,mid,low,/land-clearing/,P2,DIY-adjacent informational query
