query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,gsc_imps,gsc_position,serp_features,target_page_slug,priority,notes
foundation excavation Eugene OR,GSC+Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,ai_overview|organic,/foundation-excavation-eugene-oregon,P1,Primary target — AI Overview fires for this query (DataForSEO confirmed)
foundation excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,ai_overview|organic,/foundation-excavation-eugene-oregon,P1,Full-state variant of primary
foundation excavation Eugene,Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Shorter city variant
foundation excavation Springfield Oregon,Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Second-largest city; share this page
foundation excavation Lane County,Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,County-level modifier
foundation excavation Lane County Oregon,Autocomplete,transactional,decision,yes,scheduled,head,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Full county+state variant
foundation excavation contractor Eugene OR,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Contractor qualifier adds commercial signal
foundation excavation contractor Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Full state variant
foundation excavation company Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Company vs contractor vocabulary variant
basement excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Basement-specific; target with a section
basement excavation Eugene OR,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Short state variant
basement excavation Lane County,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,County-level basement query
basement digging Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,"Digging" vocabulary — less formal
basement dig Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Informal; still worth targeting in body
crawl space excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Crawl space-specific; major section
crawl space preparation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Preparation language variant
crawl space excavation Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Statewide crawl space query
crawl space foundation excavation Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Full phrase variant
crawlspace excavation Eugene,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,No-space spelling variant
footings excavation Eugene,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Footings-specific query; target with section
footing excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,Singular footing variant
excavation for footings Eugene OR,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Prepositional phrase variant
footing excavation contractor Eugene,Autocomplete,transactional,decision,yes,scheduled,long,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Contractor qualifier for footings
slab foundation excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Slab-specific; section in comparison table
slab excavation Eugene Oregon,Autocomplete,transactional,decision,yes,scheduled,mid,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Shorter slab variant
house foundation excavation Springfield Oregon,Autocomplete,transactional,decision,yes,scheduled,long,high,0,0,organic,/foundation-excavation-eugene-oregon,P2,Springfield-specific; include in intro/service area
new home foundation excavation Eugene,Autocomplete,transactional,decision,yes,scheduled,long,high,0,0,organic,/foundation-excavation-eugene-oregon,P1,New home context — most common use case
new home foundation excavation cost Oregon,Informational+Autocomplete,commercial,consideration,yes,scheduled,long,med,0,0,organic,/foundation-excavation-eugene-oregon,P1,Cost query — new construction context
