entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Drainage Excavation,Service,Drainage Excavation (buried/dug systems),,,Service,10,primary_service,VALIDATED_LOCAL,,0/8 core competitors name buried drainage specifically; 1 newly-found local competitor (M4 Landworks) does,"Primary entity for THIS page. Scope per the Scope Boundary: buried/dug drainage systems only — French drains, curtain drains, perimeter drains not tied to a foundation's own R405 code requirement, drainage trenching, catch basins, dry wells, culverts. Surface swales/berms are explicitly NOT this page — see Grading & Leveling row below"
Grading & Leveling,Service,Grading and Leveling (standalone),,,Service,5,sibling_not_this_page,VALIDATED_LOCAL,,6/8 competitors offer grading in some form,"Canonical form reused from grading-leveling/entity-inventory.csv row 4. OWNS surface swales, berms, and positive-slope regrading of an existing yard — i.e., moving water by shaping the ground's own contour. Its shipped content explicitly states a French drain is 'not confirmed as a current D&D service' and defers 'a dedicated write-up on dug drainage systems' to THIS page. Do not re-explain the swale side of the swale-vs-French-drain comparison table already shipped there — reference it, don't rebuild it"
Positive Drainage Slope / ORSC R401.3,Legislation,ORSC Section R401.3 — Drainage,,,Legislation,3,sibling_citation_not_this_page,VALIDATED,https://codes.iccsafe.org/s/ORRC2023P1/chapter-4-foundations/ORRC2023P1-Pt03-Ch04-SecR401.3,n/a,"Reused/contrasted from grading-leveling/entity-inventory.csv row 13 — owned by Grading & Leveling (surface slope, 6 in./10 ft near a foundation). THIS page's buried-pipe systems are a different remedy for a different situation (water already below or at grade, not fixable by reshaping the surface alone); mention briefly for contrast, do not re-derive the code citation here"
Foundation Excavation,Service,Foundation Excavation,,,Service,5,sibling_not_this_page,VALIDATED_LOCAL,,10/10 competitors offer some foundation-dig capability,"Canonical form reused from foundation-excavation/entity-inventory.csv. Its shipped H2 'What Does Oregon Require for Foundation Drainage?' covers ORSC R405/R406/R408 as CODE EDUCATION only, explicitly stating install-scope responsibility is 'confirmed per job.' THIS page is where D&D's actual French-drain-as-a-service content lives if/when confirmed — cross-link back to that page's ORSC citations rather than duplicating them here"
ORSC R405 (Foundation Drain),Legislation,ORSC Section R405 — Foundation Drains,,,Legislation,4,sibling_citation_not_this_page,VALIDATED,https://up.codes/viewer/oregon/irc-2021/chapter/4/foundations,n/a,"Reused/cross-linked from foundation-excavation/07-oregon-authority.md — the code-required perimeter footing drain around a foundation enclosing habitable space. Physically the same technique as a general French drain (perforated pipe + gravel), but a legally distinct, code-triggered scope tied to a building permit. THIS page's general/yard-scale French drain content is a different buyer moment than an R405-triggered foundation drain; where they overlap (a French drain that also happens to serve a foundation), cross-link to foundation-excavation's code education rather than re-deriving R405/R406/R408 here"
Septic Install & Repair,Service,Septic Installation and Repair,,,Service,3,sibling_not_this_page,VALIDATED_LOCAL,,5/8 competitors offer,"Canonical form reused from septic/entity-inventory.csv. Owns the septic drainfield (wastewater dispersal via a DEQ-regulated leach field) — a completely separate system from yard/surface/buried stormwater drainage. Already well-disambiguated on the septic and foundation-excavation pages; this page needs only a brief one-line disambiguation, not a rebuild"
Septic Drainfield,Concept,Septic Drainfield (leach field),,,Thing,2,sibling_concept_not_this_page,VALIDATED_LOCAL,,n/a,"Reused from septic pack — a wastewater-dispersal system regulated under OAR 340-071, unrelated to stormwater/groundwater drainage despite sharing the word 'drain.' One-line disambiguation only on this page"
French Drain,Concept,French Drain,,,Thing,10,core_concept_primary,VALIDATED,https://en.wikipedia.org/wiki/French_drain,"0/8 core competitors name it; 1 newly-found local competitor (M4 Landworks) names it directly","THIS page's central entity — a buried, perforated-pipe-in-gravel trench that collects and conveys groundwater/surface water to a discharge point. Standard yard-drainage depth 18-24 in (some sources cite as shallow as 8-12 in for surface-water-only applications); a foundation/footing-level French drain runs much deeper (4-6 ft, tied to footing depth). Whether D&D installs French drains as a confirmed service is UNCONFIRMED — business-info.md does not state it, and both the grading-leveling and foundation-excavation shipped pages explicitly leave it open. Do not resolve here; flag as open item exactly as those pages did"
Curtain Drain,Concept,Curtain Drain,,,Thing,6,core_concept,VALIDATED,https://www.hunker.com/13425283/french-drain-vs-curtain-drain/,0/8 competitors distinguish this from a French drain,"A shallower (~2 ft deep, ~1.5 ft wide), less expensive variant of a French drain, built to intercept surface/near-surface water across a broader area rather than deep groundwater at one point — typically $10-25/linear ft vs. $40-100+/linear ft for a full French drain. A genuinely distinct entity from both the French drain and the grading-leveling page's swale; worth its own definition since no competitor in this market names it at all"
Perimeter Drain,Concept,Perimeter Drain,,,Thing,5,core_concept,VALIDATED_LOCAL,,n/a,"General term for a French drain run around the perimeter of a structure, retaining wall, or problem area — used generically for yard/retaining-wall applications; distinct from the specific, code-triggered ORSC R405 foundation drain (see above) when not installed in service of a new foundation's own code requirement"
Perforated Pipe (corrugated vs. PVC),Concept,Perforated Drain Pipe,,,Thing,7,core_concept,VALIDATED,https://en.wikipedia.org/wiki/French_drain,n/a,"Corrugated perforated pipe is cheaper and more flexible but crushes/collapses more easily and clogs faster; rigid perforated PVC costs more but holds shape and lasts longer — a genuine, sourced material-choice distinction (per Cojo Asphalt's Oregon-specific trench-excavation content) that zero Lane County competitors currently explain"
Drain Rock / Gravel Backfill,Concept,Washed Drain Rock (backfill),,,Thing,6,core_concept,VALIDATED_LOCAL,,n/a,"Clean, angular washed gravel (commonly 3/4 in.) placed around the perforated pipe, wrapped in filter fabric to keep Oregon's silty clay from clogging the system over time — a real, Oregon-soil-specific detail sourced from a contractor blog, not fabricated"
Landscape / Filter Fabric,Concept,Filter Fabric (drain trench),,,Thing,4,core_concept,VALIDATED_LOCAL,,n/a,"Geotextile fabric wrapping the gravel/pipe assembly to prevent fine soil particles from migrating into and clogging the drain over time — a genuine failure-point education opportunity (a French drain installed without fabric in Willamette Valley clay silts up faster)"
Catch Basin,Concept,Catch Basin (drainage),,,Thing,6,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Storm_drain,n/a,"A grated inlet box set at a low point to collect surface water and route it into a buried pipe system — distinct from a French drain (which intercepts water along a trench) and named directly by M4 Landworks and the current live D&D page, but not defined or explained by any competitor"
Dry Well,Concept,Dry Well (drainage),,,Thing,6,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Soakaway,n/a,"An underground chamber that collects a volume of water and slowly releases it back into the surrounding soil via infiltration — functionally different from a French drain (which conveys water continuously to an exit point) and often paired with one (French drain discharges INTO a dry well) rather than substituting for it. Zero competitor coverage found"
Daylight Discharge Point,Concept,Daylighting (drainage outlet),,,Thing,7,core_concept,VALIDATED_LOCAL,,current live D&D page names this,"The point where a drain pipe exits above ground at a lower elevation, letting gravity carry water the rest of the way by surface flow — the single most common discharge method on a sloped Lane County lot. The 'where does the water actually go' question (daylight vs. dry well vs. storm-system tie-in) is a named, real content gap — a drain that dead-ends without one of these three destinations just relocates the problem underground"
Pop-up Emitter,Concept,Pop-up Drainage Emitter,,,Thing,3,core_concept,VALIDATED_LOCAL,,n/a,"A spring-loaded cap at a daylight discharge point that stays closed until water pressure opens it, preventing the pipe's open end from becoming a hazard, a rodent entry point, or a mower obstruction — a small, genuine detail-level differentiator"
Sump Pump,Concept,Sump Pump,,,Thing,3,adjacent_not_confirmed,VALIDATED,https://en.wikipedia.org/wiki/Sump_pump,n/a,"ADJACENT, LIKELY OUT OF SCOPE — a mechanical/electrical pump used where gravity alone can't move water to a discharge point (flat lots, basements below the outlet elevation); typically a plumbing/electrical trade's scope, not an excavation contractor's. Whether D&D installs, only trenches for, or refers this out entirely is UNCONFIRMED — do not claim installation; may be worth one honest disambiguating sentence"
Culvert,Concept,Culvert (driveway/access),,,Thing,5,core_concept,VALIDATED,https://en.wikipedia.org/wiki/Culvert,current live D&D page + M4 Landworks name this,"A pipe set under a driveway or access road to carry a ditch or drainage channel underneath it — a buried drainage feature, squarely within this page's scope; also cross-links to Driveway Repair for the surface-repair side of a washed-out gravel drive"
