entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
D&D Land Works,Organization,D&D Land Works,,,GeneralContractor,10,primary,NOT_FOUND,,n/a,"Canonical form reused verbatim from home/entity-inventory.csv row 2 — do not re-derive"
David Deggelman,Person,David Deggelman,,,Person,6,owner,NOT_FOUND,,n/a,Canonical form reused from home pack; do not fabricate bio/experience claims on this page
Oregon CCB #261742,Identifier,Oregon Construction Contractors Board License 261742,,,identifier,7,trust_signal,VALIDATED_LOCAL,https://search.ccb.state.or.us/search/,n/a,Canonical form reused from home pack
Land Clearing,Service,Land Clearing,,,Service,10,primary_service,VALIDATED_LOCAL,,7/8 competitors offer some form (home pack); 5/5 re-checked competitors (Danco/All Dirt/Heavy D/McKenzie/BBC) have a dedicated land-clearing page or section,"Canonical form reused verbatim from home/entity-inventory.csv row 25 — primary entity for THIS page"
Brush Clearing,Service,Brush Clearing,,,Service,8,sibling_boundary_page,VALIDATED_LOCAL,,4/8 competitors offer as a form; Danco has a fully separate dedicated page; All Dirt folds it into land clearing as a lighter tier,"SIBLING PAGE, not this page — see 00-research-pack.md Scope Boundary Finding. This page cross-links to it; does not repeat its full scope"
General Land Clearing (heavy/full-parcel),Concept,Full Land Clearing,,,Thing,9,core_scope,VALIDATED_LOCAL,https://profence.org/land-clearing-vs-brush-cutting-whats-the-difference,industry-wide distinction independently confirmed by ProFence LLC and Danco's own FAQ,"THIS page's scope: standing timber felling, stump/root-ball grubbing, full vegetation-to-bare-soil clearing, typically pre-construction/pre-development"
Tree Felling (within a clearing job),ProcessEntity,Tree Felling (clearing-scope),,,Thing,7,process_entity,VALIDATED_LOCAL,,current live /land-clearing/ page names this explicitly ("Felling and removing trees within the clearing footprint"),"CRITICAL SCOPE NUANCE — see 00-research-pack.md and 08-gap-analysis.md: D&D removes trees WITHIN a land-clearing job's footprint; D&D does NOT offer standalone single-tree removal / arborist service independent of a clearing project. Business-info.md's verified service list does not list ""Tree Removal"" as its own line item — this is an inference from the live page's own copy, flag for confirmation with David before the brief locks this framing in"
Stump Grubbing (within a clearing job),ProcessEntity,Stump and Root-Ball Grubbing (clearing-scope),,,Thing,7,process_entity,VALIDATED_LOCAL,,current live /land-clearing/ page names this explicitly ("Grubbing stumps and root balls out of the ground"),"Same nuance as Tree Felling above — part of a full clearing job's scope, not a standalone ""stump grinding"" service D&D markets independently. Do not create a standalone stump-grinding service page/section without confirming with David"
Debris Disposal (chip/haul/burn),ProcessEntity,"Debris Chipping, Hauling, and Burning",,,Thing,6,process_entity,VALIDATED_LOCAL,,current live page names all three methods ("Chipping or burning debris where permitted"); industry sources (OWNR OPS) confirm mulch-on-site vs. haul-off vs. burn are the three standard disposal paths,"Genuine content-gap opportunity — explaining which disposal method applies when and why (burn permit required for burning; hauling costs $500-$2,000+/acre extra; mulching cheapest but changes site condition) is addressed by zero competitors checked in this pass"
Forestry Mulching,Concept,Forestry Mulching,,,Thing,6,adjacent_distinct_concept,VALIDATED,https://en.wikipedia.org/wiki/Forestry_mulching,"grinds trees/brush/stumps into on-site mulch in a single pass; industry sources (Timberworks VA, Michigan Land Clearing) confirm this is a DISTINCT method from D&D's described full-clearing approach","ADJACENT BUT NOT A VERIFIED D&D SERVICE — the topical map's scope fence (§4) explicitly excludes forestry mulching as a standalone offering ""unless verified.” The live /land-clearing/ page does not name mulching as a method D&D performs (only chipping/burning). Do not imply D&D offers forestry mulching without confirming with David; if D&D's excavator-mounted mulching head (mentioned generically under ""equipment"" on the current page) is in fact used for this purpose, that is a confirmation question for the brief stage, not an assumption for this pack"
Rough Grading (post-clearing),ProcessEntity,Rough Grading of Cleared Area,,,Thing,6,process_entity,VALIDATED_LOCAL,,"current live page names this ('Rough grading the cleared area to a usable, walkable state'); reused/contrasted from site-preparation pack row 14","Distinct from the Grading & Leveling page's standalone-yard scope (grading-leveling/entity-inventory.csv row 6 sibling note) — this is the light finish-pass that ends a clearing job, not a dedicated grading service"
Selective Clearing / Tree & Feature Preservation,Concept,Selective Clearing (flag-and-preserve),,,Thing,6,process_entity,VALIDATED_LOCAL,,current live page names this ("Flagging and preserving trees or features you want kept"); All Dirt independently names the same practice ("carefully preserve desired trees and vegetation while removing unwanted growth"),Genuine trust-building content — a homeowner's top fear is losing a tree/feature they wanted kept; both D&D and a top competitor already practice this but neither explains the process (a walk-through/flagging step) in FAQ depth
Land Clearing for Construction/Development (project type),ProjectType,Pre-Construction Lot Clearing,,,Thing,9,project_type,VALIDATED_LOCAL,,universal project type across all competitors checked; also named by All Dirt ("preparing lots for construction"),"Primary project-type entity for this page; feeds directly into /site-preparation/ per the ""Often Paired With"" section on the current live page"
Land Clearing for Pasture/Hobby Farm (project type),ProjectType,Pasture and Acreage Reclamation Clearing,,,Thing,7,project_type,VALIDATED_LOCAL,https://www.pubs.ext.vt.edu/465/465-341/465-341.html,"named directly in the task brief; industry cost guides (Angi, HomeGuide) separately price ""pasture/field reclamation"" at $500-$2,500/acre — cheaper than construction-grade clearing because full stump extraction isn't always required",Genuine differentiator — zero of the 8 originally-deep-dived competitors explicitly separate this project type with its own pricing/scope logic; ties to the ""stumps ground low vs. fully extracted"" cost-saving nuance
Wooded Lot Clearing (project type),ProjectType,Wooded/Timbered Lot Clearing,,,Thing,8,project_type,VALIDATED_LOCAL,,"current live page's own hero copy names this ('Wooded lots... trees, stumps, brush')","Named directly on the shipped page — the heaviest-scope, highest-cost project type this page covers"
Overgrown/Neglected Acreage (project type),ProjectType,Overgrown Acreage Reclamation,,,Thing,7,project_type,VALIDATED_LOCAL,,"current live page's own hero copy names this ('a parcel that's sat untouched for years'); Heavy D similarly frames 'raw, overgrown land into buildable sites'","Common rural-Oregon scenario — buying acreage that was neglected by a previous owner"
Excavator (with thumb/grapple attachment),EquipmentCategory,Excavator with Thumb or Grapple Attachment,Q557056,,Product,7,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Excavator,current live /land-clearing/ page names this specifically,"Canonical base entity reused from home pack row 34; attachment detail is NEW and specific to this page — ""does most of the heavy lifting: pulling stumps, piling brush, loading debris"""
Brush Hog / Mulching Head Attachment,EquipmentCategory,Brush Hog or Mulching Head,,,Product,6,equipment_context,VALIDATED_LOCAL,,current live page names this ("handles lower growth without tearing up the topsoil"); shared equipment entity with the sibling Brush Clearing page,"Shared equipment across both pages — on THIS page it is the secondary/lower-growth tool; on the Brush Clearing page it is the PRIMARY tool. Do not present identically on both pages — differentiate by role"
Skid Steer Loader,EquipmentCategory,Skid-Steer Loader,Q1548219,,Product,5,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Skid-steer_loader,Canonical form reused from home pack row 35; brush-clearing sibling page names this as a mulching-attachment carrier,Reused verbatim
Dump Truck,EquipmentCategory,Dump Truck,Q752392,,Product,4,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Dump_truck,Canonical form reused from excavation pack row 23,Used for debris/timber haul-off when that disposal method is chosen
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,7,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/land-clearing/,n/a,"CHECKED DIRECTLY 2026-09-08 — has a fully separate dedicated /land-clearing/ and /brush-clearing/ page, each with its own FAQ. Land-clearing FAQ states verbatim: ""Brush clearing focuses on vegetation, overgrowth, and smaller plant material, while land clearing is a larger process that may include tree removal, stump removal, and site preparation for construction or development."" THE SINGLE STRONGEST PIECE OF EVIDENCE for this pack's scope-boundary recommendation — a direct competitor already draws and publishes the identical split D&D's live site uses"
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,6,competitor,VALIDATED_LOCAL,https://alldirtinc.com/services/land-clearing,n/a,"CHECKED DIRECTLY 2026-09-08 — takes the OPPOSITE structural approach: ONE /services/land-clearing page covering both ""light brush clearing"" and ""heavy timber and stump removal"" as two tiers within a single page, no separate brush-clearing URL. Names permit/burn-permit/erosion-control compliance and selective-clearing tree preservation explicitly — genuinely more detailed than most competitors on this topic"
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,"Land Clearing service copy references ""professional brush clearing services"" within the same land-clearing framing — a third structural approach (brush clearing as a phrase inside land clearing, no separate page or explicit scope split found)"
McKenzie Excavating,Organization,"McKenzie Excavating, Inc.",,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://mckenzieexcavatingor.com/,n/a,Reused from home/excavation packs — land clearing listed among general service categories; no dedicated brush-vs-land scope split found in this pass
Braun Excavating,Organization,Braun Excavating Inc.,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.braunexcavating.net/,n/a,Reused from prior packs — land clearing referenced generically within full-service earthmoving positioning; no dedicated page found
